Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.511,85.947,1031.364,0,0,1031.364
119.976,0.50589,85.105,1021.26,6.356,0.622,1014.904
239.951,0.50078,84.263,1011.156,12.583,1.244,998.573
359.927,0.49567,83.422,1001.064,18.683,1.866,982.381
479.902,0.49056,82.58,990.96,24.653,2.488,966.307
599.878,0.48545,81.738,980.856,30.496,3.109,950.36
719.853,0.48034,80.896,970.752,36.209,3.73,934.543
839.829,0.47523,80.054,960.648,41.795,4.351,918.853
959.804,0.47012,79.212,950.544,47.252,4.971,903.292
1079.78,0.46501,78.371,940.452,52.581,5.591,887.871
1199.755,0.4599,77.529,930.348,57.781,6.211,872.567
1319.731,0.45479,76.687,920.244,62.853,6.83,857.391
1439.706,0.44968,75.845,910.14,67.796,7.449,842.344
1559.682,0.44457,75.003,900.036,72.611,8.068,827.425
1679.657,0.43946,74.161,889.932,77.298,8.686,812.634
1799.633,0.43435,73.32,879.84,81.856,9.304,797.984
1919.608,0.42924,72.478,869.736,86.286,9.921,783.45
2039.584,0.42413,71.636,859.632,90.588,10.538,769.044
2159.559,0.41902,70.794,849.528,94.761,11.155,754.767
2279.535,0.41391,69.952,839.424,98.805,11.771,740.619
2399.51,0.4088,69.11,829.32,102.722,12.386,726.598
2519.486,0.40369,68.269,819.228,106.51,13.001,712.718
2639.461,0.39858,67.427,809.124,110.169,13.616,698.955
2759.437,0.39347,66.585,799.02,113.7,14.23,685.32
2879.412,0.38836,65.743,788.916,117.103,14.844,671.813
2999.388,0.38325,64.901,778.812,120.377,15.456,658.435
3119.364,0.37814,64.059,768.708,123.523,16.069,645.185
3239.339,0.37303,63.218,758.616,126.54,16.68,632.076
3359.315,0.36792,62.376,748.512,129.429,17.292,619.083
3479.29,0.36281,61.534,738.408,132.19,17.902,606.218
3599.266,0.3577,60.692,728.304,134.822,18.512,593.482
3719.241,0.35259,59.85,718.2,137.326,19.121,580.874
3839.217,0.34748,59.008,708.096,139.702,19.729,568.394
3959.192,0.34237,58.167,698.004,141.949,20.336,556.055
4079.168,0.33726,57.325,687.9,144.067,20.943,543.833
4199.143,0.33215,56.483,677.796,146.057,21.549,531.739
4319.119,0.32704,55.641,667.692,147.919,22.154,519.773
4439.094,0.32193,54.799,657.588,149.653,22.758,507.935
4559.07,0.31682,53.957,647.484,151.258,23.361,496.226
4679.045,0.31171,53.116,637.392,152.734,23.962,484.658
4799.021,0.3066,52.274,627.288,154.083,24.563,473.205
4918.996,0.30149,51.432,617.184,155.302,25.163,461.882
5038.972,0.29638,50.59,607.08,156.394,25.762,450.686
5158.947,0.29127,49.748,596.976,157.357,26.359,439.619
5278.923,0.28616,48.906,586.872,158.191,26.955,428.681
5398.898,0.28105,48.065,576.78,158.898,27.549,417.882
5518.874,0.27594,47.223,566.676,159.475,28.142,407.201
5638.849,0.27083,46.381,556.572,159.925,28.734,396.647
5758.825,0.26572,45.539,546.468,160.246,29.324,386.222
5878.8,0.26061,44.697,536.364,160.438,29.912,375.926
5998.776,0.2555,43.856,526.272,160.503,30.498,365.769
6118.752,0.25039,43.014,516.168,160.438,31.083,355.73
6238.727,0.24528,42.172,506.064,160.246,31.665,345.818
6358.703,0.24017,41.33,495.96,159.925,32.246,336.035
6478.678,0.23506,40.488,485.856,159.475,32.824,326.381
6598.654,0.22995,39.646,475.752,158.898,33.399,316.854
6718.629,0.22484,38.805,465.66,158.191,33.971,307.469
6838.605,0.21973,37.963,455.556,157.357,34.542,298.199
6958.58,0.21462,37.121,445.452,156.394,35.109,289.058
7078.556,0.20951,36.279,435.348,155.302,35.673,280.046
7198.531,0.2044,35.437,425.244,154.083,36.234,271.161
7318.507,0.19929,34.595,415.14,152.734,36.791,262.406
7438.482,0.19418,33.754,405.048,151.258,37.343,253.79
7558.458,0.18907,32.912,394.944,149.653,37.892,245.291
7678.433,0.18396,32.07,384.84,147.919,38.436,236.921
7798.409,0.17885,31.228,374.736,146.057,38.976,228.679
7918.384,0.17374,30.386,364.632,144.067,39.51,220.565
8038.36,0.16863,29.544,354.528,141.949,40.039,212.579
8158.335,0.16352,28.703,344.436,139.701,40.559,204.735
8278.311,0.15841,27.861,334.332,137.326,41.075,197.006
8398.286,0.1533,27.019,324.228,134.822,41.582,189.406
8518.262,0.14819,26.177,314.124,132.19,42.082,181.934
8638.237,0.14308,25.335,304.02,129.429,42.573,174.591
8758.213,0.13797,24.493,293.916,126.54,43.053,167.376
8878.188,0.13286,23.652,283.824,123.523,43.521,160.301
8998.164,0.12775,22.81,273.72,120.377,43.978,153.343
9118.14,0.12264,21.968,263.616,117.103,44.422,146.513
9238.115,0.11753,21.126,253.512,113.7,44.85,139.812
9358.091,0.11242,20.284,243.408,110.169,45.261,133.239
9478.066,0.10731,19.442,233.304,106.51,45.653,126.794
9598.042,0.1022,18.601,223.212,102.722,46.02,120.49
9718.017,0.09709,17.759,213.108,98.805,46.364,114.303
9837.993,0.09198,16.917,203.004,94.761,46.679,108.243
9957.968,0.08687,16.075,192.9,90.588,46.961,102.312
10077.944,0.08176,15.233,182.796,86.286,47.203,96.51
10197.919,0.07665,14.391,172.692,81.856,47.4,90.836
10317.895,0.07154,13.55,162.6,77.298,47.539,85.302
10437.87,0.06643,12.708,152.496,72.611,47.615,79.885
