Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.162,24.378,292.536,0,0,292.536
47.729,0.16038,24.151,289.812,0.802,0.277,289.01
95.458,0.15876,23.924,287.088,1.587,0.553,285.501
143.187,0.15714,23.698,284.376,2.356,0.828,282.02
190.917,0.15552,23.471,281.652,3.109,1.104,278.543
238.646,0.1539,23.244,278.928,3.846,1.379,275.082
286.375,0.15228,23.017,276.204,4.567,1.653,271.637
334.104,0.15066,22.79,273.48,5.271,1.927,268.209
381.833,0.14904,22.564,270.768,5.959,2.201,264.809
429.562,0.14742,22.337,268.044,6.631,2.474,261.413
477.291,0.1458,22.11,265.32,7.287,2.746,258.033
525.02,0.14418,21.883,262.596,7.927,3.019,254.669
572.75,0.14256,21.656,259.872,8.55,3.29,251.322
620.479,0.14094,21.429,257.148,9.158,3.561,247.99
668.208,0.13932,21.203,254.436,9.749,3.832,244.687
715.937,0.1377,20.976,251.712,10.324,4.102,241.388
763.666,0.13608,20.749,248.988,10.882,4.37,238.106
811.395,0.13446,20.522,246.264,11.425,4.639,234.839
859.124,0.13284,20.295,243.54,11.951,4.907,231.589
906.853,0.13122,20.069,240.828,12.461,5.174,228.367
954.583,0.1296,19.842,238.104,12.955,5.441,225.149
1002.312,0.12798,19.615,235.38,13.433,5.707,221.947
1050.041,0.12636,19.388,232.656,13.895,5.972,218.761
1097.77,0.12474,19.161,229.932,14.34,6.237,215.592
1145.499,0.12312,18.935,227.22,14.769,6.5,212.451
1193.228,0.1215,18.708,224.496,15.182,6.763,209.314
1240.957,0.11988,18.481,221.772,15.579,7.025,206.193
1288.687,0.11826,18.254,219.048,15.959,7.286,203.089
1336.416,0.11664,18.027,216.324,16.324,7.546,200
1384.145,0.11502,17.801,213.612,16.672,7.805,196.94
1431.874,0.1134,17.574,210.888,17.004,8.063,193.884
1479.603,0.11178,17.347,208.164,17.32,8.32,190.844
1527.332,0.11016,17.12,205.44,17.619,8.576,187.821
1575.061,0.10854,16.893,202.716,17.903,8.832,184.813
1622.79,0.10692,16.666,199.992,18.17,9.085,181.822
1670.52,0.1053,16.44,197.28,18.421,9.337,178.859
1718.249,0.10368,16.213,194.556,18.656,9.589,175.9
1765.978,0.10206,15.986,191.832,18.874,9.839,172.958
1813.707,0.10044,15.759,189.108,19.077,10.088,170.031
1861.436,0.09882,15.532,186.384,19.263,10.335,167.121
1909.165,0.0972,15.306,183.672,19.433,10.58,164.239
1956.894,0.09558,15.079,180.948,19.587,10.825,161.361
2004.623,0.09396,14.852,178.224,19.724,11.067,158.5
2052.353,0.09234,14.625,175.5,19.846,11.308,155.654
2100.082,0.09072,14.398,172.776,19.951,11.547,152.825
2147.811,0.0891,14.172,170.064,20.04,11.784,150.024
2195.54,0.08748,13.945,167.34,20.113,12.019,147.227
2243.269,0.08586,13.718,164.616,20.17,12.253,144.446
2290.998,0.08424,13.491,161.892,20.21,12.484,141.682
2338.727,0.08262,13.264,159.168,20.235,12.713,138.933
2386.457,0.081,13.038,156.456,20.243,12.938,136.213
2434.186,0.07938,12.811,153.732,20.235,13.163,133.497
2481.915,0.07776,12.584,151.008,20.21,13.383,130.798
2529.644,0.07614,12.357,148.284,20.17,13.602,128.114
2577.373,0.07452,12.13,145.56,20.113,13.818,125.447
2625.102,0.0729,11.903,142.836,20.04,14.03,122.796
2672.831,0.07128,11.677,140.124,19.951,14.238,120.173
2720.56,0.06966,11.45,137.4,19.846,14.444,117.554
2768.29,0.06804,11.223,134.676,19.724,14.646,114.952
2816.019,0.06642,10.996,131.952,19.587,14.844,112.365
2863.748,0.0648,10.769,129.228,19.433,15.038,109.795
2911.477,0.06318,10.543,126.516,19.263,15.226,107.253
2959.206,0.06156,10.316,123.792,19.077,15.411,104.715
3006.935,0.05994,10.089,121.068,18.874,15.59,102.194
3054.664,0.05832,9.862,118.344,18.656,15.764,99.688
3102.393,0.0567,9.635,115.62,18.421,15.932,97.199
3150.123,0.05508,9.409,112.908,18.17,16.093,94.738
3197.852,0.05346,9.182,110.184,17.903,16.248,92.281
3245.581,0.05184,8.955,107.46,17.619,16.396,89.841
3293.31,0.05022,8.728,104.736,17.32,16.537,87.416
3341.039,0.0486,8.501,102.012,17.004,16.669,85.008
3388.768,0.04698,8.274,99.288,16.672,16.792,82.616
3436.497,0.04536,8.048,96.576,16.324,16.903,80.252
3484.226,0.04374,7.821,93.852,15.959,17.004,77.893
3531.956,0.04212,7.594,91.128,15.579,17.096,75.549
3579.685,0.0405,7.367,88.404,15.182,17.173,73.222
3627.414,0.03888,7.14,85.68,14.769,17.237,70.911
3675.143,0.03726,6.914,82.968,14.34,17.284,68.628
3722.872,0.03564,6.687,80.244,13.895,17.316,66.349
3770.601,0.03402,6.46,77.52,13.433,17.328,64.087
3818.33,0.0324,6.233,74.796,12.955,17.32,61.841
3866.06,0.03078,6.006,72.072,12.461,17.29,59.611
3913.789,0.02916,5.78,69.36,11.951,17.23,57.409
3961.518,0.02754,5.553,66.636,11.425,17.145,55.211
4009.247,0.02592,5.326,63.912,10.882,17.027,53.03
4056.976,0.0243,5.099,61.188,10.324,16.873,50.864
4104.705,0.02268,4.872,58.464,9.749,16.675,48.715
4152.434,0.02106,4.646,55.752,9.158,16.426,46.594
4200.163,0.01944,4.419,53.028,8.55,16.124,44.478
4247.893,0.01782,4.192,50.304,7.927,15.758,42.377
4295.622,0.0162,3.965,47.58,7.287,15.315,40.293
4343.351,0.01458,3.738,44.856,6.631,14.783,38.225
4391.08,0.01296,3.511,42.132,5.959,14.144,36.173
4438.809,0.01134,3.285,39.42,5.271,13.371,34.149
4486.538,0.00972,3.058,36.696,4.567,12.445,32.129
4534.267,0.0081,2.831,33.972,3.846,11.321,30.126
4581.996,0.00648,2.604,31.248,3.109,9.949,28.139
4629.726,0.00486,2.377,28.524,2.356,8.26,26.168
4677.455,0.00324,2.151,25.812,1.587,6.148,24.225
4725.184,0.00162,1.924,23.088,0.802,3.474,22.286
4772.913,0,1.697,20.364,0,0,20.364
