Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.242,13.963,167.556,0,0,167.556
47.27,0.23958,13.831,165.972,1.186,0.715,164.786
94.54,0.23716,13.699,164.388,2.348,1.428,162.04
141.81,0.23474,13.567,162.804,3.486,2.141,159.318
189.08,0.23232,13.435,161.22,4.6,2.853,156.62
236.35,0.2299,13.303,159.636,5.69,3.564,153.946
283.62,0.22748,13.171,158.052,6.756,4.275,151.296
330.89,0.22506,13.039,156.468,7.798,4.984,148.67
378.16,0.22264,12.907,154.884,8.817,5.693,146.067
425.43,0.22022,12.775,153.3,9.811,6.4,143.489
472.7,0.2178,12.643,151.716,10.781,7.106,140.935
519.97,0.21538,12.511,150.132,11.728,7.812,138.404
567.24,0.21296,12.379,148.548,12.65,8.516,135.898
614.51,0.21054,12.248,146.976,13.549,9.219,133.427
661.78,0.20812,12.116,145.392,14.423,9.92,130.969
709.05,0.2057,11.984,143.808,15.274,10.621,128.534
756.32,0.20328,11.852,142.224,16.1,11.32,126.124
803.59,0.20086,11.72,140.64,16.903,12.019,123.737
850.86,0.19844,11.588,139.056,17.681,12.715,121.375
898.13,0.19602,11.456,137.472,18.436,13.411,119.036
945.4,0.1936,11.324,135.888,19.167,14.105,116.721
992.67,0.19118,11.192,134.304,19.874,14.798,114.43
1039.94,0.18876,11.06,132.72,20.556,15.488,112.164
1087.21,0.18634,10.928,131.136,21.215,16.178,109.921
1134.48,0.18392,10.796,129.552,21.85,16.866,107.702
1181.75,0.1815,10.664,127.968,22.461,17.552,105.507
1229.02,0.17908,10.532,126.384,23.048,18.236,103.336
1276.29,0.17666,10.4,124.8,23.611,18.919,101.189
1323.56,0.17424,10.268,123.216,24.15,19.6,99.066
1370.83,0.17182,10.136,121.632,24.665,20.278,96.967
1418.1,0.1694,10.004,120.048,25.156,20.955,94.892
1465.37,0.16698,9.872,118.464,25.624,21.63,92.84
1512.64,0.16456,9.74,116.88,26.067,22.302,90.813
1559.91,0.16214,9.608,115.296,26.486,22.972,88.81
1607.18,0.15972,9.476,113.712,26.881,23.64,86.831
1654.45,0.1573,9.344,112.128,27.253,24.305,84.875
1701.72,0.15488,9.212,110.544,27.6,24.967,82.944
1748.99,0.15246,9.08,108.96,27.924,25.628,81.036
1796.26,0.15004,8.949,107.388,28.223,26.281,79.165
1843.53,0.14762,8.817,105.804,28.499,26.936,77.305
1890.8,0.1452,8.685,104.22,28.75,27.586,75.47
1938.07,0.14278,8.553,102.636,28.978,28.234,73.658
1985.34,0.14036,8.421,101.052,29.181,28.877,71.871
2032.61,0.13794,8.289,99.468,29.361,29.518,70.107
2079.88,0.13552,8.157,97.884,29.517,30.155,68.367
