Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.381,44.934,539.208,0,0,539.208
104.1,0.37719,44.491,533.892,4.112,0.77,529.78
208.2,0.37338,44.048,528.576,8.141,1.54,520.435
312.299,0.36957,43.605,523.26,12.086,2.31,511.174
416.399,0.36576,43.162,517.944,15.949,3.079,501.995
520.499,0.36195,42.719,512.628,19.729,3.849,492.899
624.599,0.35814,42.276,507.312,23.425,4.617,483.887
728.698,0.35433,41.833,501.996,27.039,5.386,474.957
832.798,0.35052,41.39,496.68,30.569,6.155,466.111
936.898,0.34671,40.947,491.364,34.016,6.923,457.348
1040.998,0.3429,40.505,486.06,37.381,7.691,448.679
1145.098,0.33909,40.062,480.744,40.662,8.458,440.082
1249.197,0.33528,39.619,475.428,43.86,9.225,431.568
1353.297,0.33147,39.176,470.112,46.975,9.992,423.137
1457.397,0.32766,38.733,464.796,50.007,10.759,414.789
1561.497,0.32385,38.29,459.48,52.956,11.525,406.524
1665.596,0.32004,37.847,454.164,55.822,12.291,398.342
1769.696,0.31623,37.404,448.848,58.604,13.057,390.244
1873.796,0.31242,36.961,443.532,61.304,13.822,382.228
1977.896,0.30861,36.518,438.216,63.921,14.587,374.295
2081.996,0.3048,36.075,432.9,66.454,15.351,366.446
2186.095,0.30099,35.632,427.584,68.905,16.115,358.679
2290.195,0.29718,35.189,422.268,71.272,16.878,350.996
2394.295,0.29337,34.746,416.952,73.557,17.642,343.395
2498.395,0.28956,34.303,411.636,75.758,18.404,335.878
2602.495,0.28575,33.86,406.32,77.876,19.166,328.444
2706.594,0.28194,33.417,401.004,79.911,19.928,321.093
2810.694,0.27813,32.974,395.688,81.863,20.689,313.825
2914.794,0.27432,32.531,390.372,83.732,21.449,306.64
3018.894,0.27051,32.088,385.056,85.518,22.209,299.538
3122.993,0.2667,31.646,379.752,87.221,22.968,292.531
3227.093,0.26289,31.203,374.436,88.841,23.727,285.595
3331.193,0.25908,30.76,369.12,90.378,24.485,278.742
3435.293,0.25527,30.317,363.804,91.832,25.242,271.972
3539.393,0.25146,29.874,358.488,93.202,25.999,265.286
3643.492,0.24765,29.431,353.172,94.49,26.755,258.682
3747.592,0.24384,28.988,347.856,95.694,27.51,252.162
3851.692,0.24003,28.545,342.54,96.816,28.264,245.724
3955.792,0.23622,28.102,337.224,97.854,29.018,239.37
4059.891,0.23241,27.659,331.908,98.809,29.77,233.099
4163.991,0.2286,27.216,326.592,99.682,30.522,226.91
4268.091,0.22479,26.773,321.276,100.471,31.272,220.805
4372.191,0.22098,26.33,315.96,101.177,32.022,214.783
4476.291,0.21717,25.887,310.644,101.8,32.771,208.844
4580.39,0.21336,25.444,305.328,102.34,33.518,202.988
4684.49,0.20955,25.001,300.012,102.797,34.264,197.215
4788.59,0.20574,24.558,294.696,103.17,35.009,191.526
4892.69,0.20193,24.115,289.38,103.461,35.753,185.919
4996.789,0.19812,23.672,284.064,103.669,36.495,180.395
5100.889,0.19431,23.229,278.748,103.793,37.235,174.955
5204.989,0.1905,22.787,273.444,103.835,37.973,169.609
5309.089,0.18669,22.344,268.128,103.793,38.71,164.335
5413.189,0.18288,21.901,262.812,103.669,39.446,159.143
5517.288,0.17907,21.458,257.496,103.461,40.18,154.035
5621.388,0.17526,21.015,252.18,103.17,40.911,149.01
5725.488,0.17145,20.572,246.864,102.797,41.641,144.067
5829.588,0.16764,20.129,241.548,102.34,42.368,139.208
5933.687,0.16383,19.686,236.232,101.8,43.093,134.432
6037.787,0.16002,19.243,230.916,101.177,43.816,129.739
6141.887,0.15621,18.8,225.6,100.471,44.535,125.129
6245.987,0.1524,18.357,220.284,99.682,45.252,120.602
6350.087,0.14859,17.914,214.968,98.809,45.965,116.159
6454.186,0.14478,17.471,209.652,97.854,46.674,111.798
6558.286,0.14097,17.028,204.336,96.816,47.381,107.52
6662.386,0.13716,16.585,199.02,95.694,48.083,103.326
6766.486,0.13335,16.142,193.704,94.49,48.781,99.214
6870.585,0.12954,15.699,188.388,93.202,49.473,95.186
6974.685,0.12573,15.256,183.072,91.832,50.162,91.24
7078.785,0.12192,14.813,177.756,90.378,50.844,87.378
7182.885,0.11811,14.37,172.44,88.841,51.52,83.599
7286.985,0.1143,13.928,167.136,87.221,52.186,79.915
7391.084,0.11049,13.485,161.82,85.518,52.848,76.302
7495.184,0.10668,13.042,156.504,83.732,53.502,72.772
7599.284,0.10287,12.599,151.188,81.863,54.146,69.325
7703.384,0.09906,12.156,145.872,79.911,54.782,65.961
7807.484,0.09525,11.713,140.556,77.876,55.406,62.68
7911.583,0.09144,11.27,135.24,75.758,56.017,59.482
8015.683,0.08763,10.827,129.924,73.557,56.615,56.367
8119.783,0.08382,10.384,124.608,71.272,57.197,53.336
8223.883,0.08001,9.941,119.292,68.905,57.762,50.387
8327.982,0.0762,9.498,113.976,66.454,58.305,47.522
8432.082,0.07239,9.055,108.66,63.921,58.827,44.739
8536.182,0.06858,8.612,103.344,61.304,59.32,42.04
8640.282,0.06477,8.169,98.028,58.604,59.783,39.424
8744.382,0.06096,7.726,92.712,55.822,60.21,36.89
8848.481,0.05715,7.283,87.396,52.956,60.593,34.44
8952.581,0.05334,6.84,82.08,50.007,60.925,32.073
9056.681,0.04953,6.397,76.764,46.975,61.194,29.789
9160.781,0.04572,5.954,71.448,43.86,61.387,27.588
9264.88,0.04191,5.511,66.132,40.662,61.486,25.47
9368.98,0.0381,5.069,60.828,37.381,61.454,23.447
9473.08,0.03429,4.626,55.512,34.016,61.277,21.496
9577.18,0.03048,4.183,50.196,30.569,60.899,19.627
9681.28,0.02667,3.74,44.88,27.039,60.247,17.841
9785.379,0.02286,3.297,39.564,23.425,59.208,16.139
9889.479,0.01905,2.854,34.248,19.729,57.606,14.519
9993.579,0.01524,2.411,28.932,15.949,55.126,12.983
10097.679,0.01143,1.968,23.616,12.086,51.177,11.53
10201.778,0.00762,1.525,18.3,8.141,44.486,10.159
10305.878,0.00381,1.082,12.984,4.112,31.67,8.872
10409.978,0,0.639,7.668,0,0,7.668
