Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.121,26.978,323.736,0,0,323.736
59.865,0.11979,26.708,320.496,0.751,0.234,319.745
119.73,0.11858,26.438,317.256,1.487,0.469,315.769
179.595,0.11737,26.169,314.028,2.207,0.703,311.821
239.459,0.11616,25.899,310.788,2.913,0.937,307.875
299.324,0.11495,25.629,307.548,3.603,1.172,303.945
359.189,0.11374,25.359,304.308,4.278,1.406,300.03
419.054,0.11253,25.09,301.08,4.938,1.64,296.142
478.919,0.11132,24.82,297.84,5.583,1.874,292.257
538.784,0.11011,24.55,294.6,6.213,2.109,288.387
598.648,0.1089,24.28,291.36,6.827,2.343,284.533
658.513,0.10769,24.01,288.12,7.426,2.577,280.694
718.378,0.10648,23.741,284.892,8.01,2.812,276.882
778.243,0.10527,23.471,281.652,8.579,3.046,273.073
838.108,0.10406,23.201,278.412,9.133,3.28,269.279
897.973,0.10285,22.931,275.172,9.672,3.515,265.5
957.837,0.10164,22.662,271.944,10.195,3.749,261.749
1017.702,0.10043,22.392,268.704,10.703,3.983,258.001
1077.567,0.09922,22.122,265.464,11.196,4.218,254.268
1137.432,0.09801,21.852,262.224,11.674,4.452,250.55
1197.297,0.0968,21.582,258.984,12.137,4.686,246.847
1257.162,0.09559,21.313,255.756,12.584,4.92,243.172
1317.026,0.09438,21.043,252.516,13.017,5.155,239.499
1376.891,0.09317,20.773,249.276,13.434,5.389,235.842
1436.756,0.09196,20.503,246.036,13.836,5.624,232.2
1496.621,0.09075,20.234,242.808,14.223,5.858,228.585
1556.486,0.08954,19.964,239.568,14.595,6.092,224.973
1616.351,0.08833,19.694,236.328,14.951,6.326,221.377
1676.216,0.08712,19.424,233.088,15.292,6.561,217.796
1736.08,0.08591,19.154,229.848,15.619,6.795,214.229
1795.945,0.0847,18.885,226.62,15.93,7.029,210.69
1855.81,0.08349,18.615,223.38,16.225,7.263,207.155
1915.675,0.08228,18.345,220.14,16.506,7.498,203.634
1975.54,0.08107,18.075,216.9,16.772,7.733,200.128
2035.405,0.07986,17.805,213.66,17.022,7.967,196.638
2095.269,0.07865,17.536,210.432,17.257,8.201,193.175
2155.134,0.07744,17.266,207.192,17.477,8.435,189.715
2214.999,0.07623,16.996,203.952,17.682,8.67,186.27
2274.864,0.07502,16.726,200.712,17.872,8.904,182.84
2334.729,0.07381,16.457,197.484,18.046,9.138,179.438
2394.594,0.0726,16.187,194.244,18.205,9.372,176.039
2454.458,0.07139,15.917,191.004,18.349,9.607,172.655
2514.323,0.07018,15.647,187.764,18.478,9.841,169.286
2574.188,0.06897,15.377,184.524,18.592,10.076,165.932
2634.053,0.06776,15.108,181.296,18.691,10.31,162.605
2693.918,0.06655,14.838,178.056,18.774,10.544,159.282
2753.783,0.06534,14.568,174.816,18.842,10.778,155.974
2813.647,0.06413,14.298,171.576,18.896,11.013,152.68
2873.512,0.06292,14.029,168.348,18.933,11.246,149.415
2933.377,0.06171,13.759,165.108,18.956,11.481,146.152
2993.242,0.0605,13.489,161.868,18.964,11.716,142.904
3053.107,0.05929,13.219,158.628,18.956,11.95,139.672
3112.972,0.05808,12.949,155.388,18.933,12.184,136.455
3172.837,0.05687,12.68,152.16,18.896,12.419,133.264
3232.701,0.05566,12.41,148.92,18.842,12.652,130.078
3292.566,0.05445,12.14,145.68,18.774,12.887,126.906
3352.431,0.05324,11.87,142.44,18.691,13.122,123.749
3412.296,0.05203,11.601,139.212,18.592,13.355,120.62
3472.161,0.05082,11.331,135.972,18.478,13.59,117.494
3532.026,0.04961,11.061,132.732,18.349,13.824,114.383
3591.89,0.0484,10.791,129.492,18.205,14.059,111.287
3651.755,0.04719,10.521,126.252,18.046,14.294,108.206
3711.62,0.04598,10.252,123.024,17.872,14.527,105.152
3771.485,0.04477,9.982,119.784,17.682,14.762,102.102
3831.35,0.04356,9.712,116.544,17.477,14.996,99.067
3891.215,0.04235,9.442,113.304,17.257,15.231,96.047
3951.079,0.04114,9.173,110.076,17.022,15.464,93.054
4010.944,0.03993,8.903,106.836,16.772,15.699,90.064
4070.809,0.03872,8.633,103.596,16.506,15.933,87.09
4130.674,0.03751,8.363,100.356,16.225,16.167,84.131
4190.539,0.0363,8.093,97.116,15.93,16.403,81.186
4250.404,0.03509,7.824,93.888,15.619,16.636,78.269
4310.268,0.03388,7.554,90.648,15.292,16.87,75.356
4370.133,0.03267,7.284,87.408,14.951,17.105,72.457
4429.998,0.03146,7.014,84.168,14.595,17.34,69.573
4489.863,0.03025,6.745,80.94,14.223,17.572,66.717
4549.728,0.02904,6.475,77.7,13.836,17.807,63.864
4609.593,0.02783,6.205,74.46,13.434,18.042,61.026
4669.458,0.02662,5.935,71.22,13.017,18.277,58.203
4729.322,0.02541,5.665,67.98,12.584,18.511,55.396
4789.187,0.0242,5.396,64.752,12.137,18.744,52.615
4849.052,0.02299,5.126,61.512,11.674,18.978,49.838
4908.917,0.02178,4.856,58.272,11.196,19.213,47.076
4968.782,0.02057,4.586,55.032,10.703,19.449,44.329
5028.647,0.01936,4.316,51.792,10.195,19.685,41.597
5088.511,0.01815,4.047,48.564,9.672,19.916,38.892
5148.376,0.01694,3.777,45.324,9.133,20.15,36.191
5208.241,0.01573,3.507,42.084,8.579,20.385,33.505
5268.106,0.01452,3.237,38.844,8.01,20.621,30.834
5327.971,0.01331,2.968,35.616,7.426,20.85,28.19
5387.836,0.0121,2.698,32.376,6.827,21.087,25.549
5447.7,0.01089,2.428,29.136,6.213,21.324,22.923
