Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,1.299,60.088,721.056,0,0,721.056
23.835,1.28601,59.508,714.096,3.21,0.45,710.886
47.669,1.27302,58.929,707.148,6.355,0.899,700.793
71.504,1.26003,58.349,700.188,9.435,1.347,690.753
95.339,1.24704,57.77,693.24,12.45,1.796,680.79
119.173,1.23405,57.19,686.28,15.401,2.244,670.879
143.008,1.22106,56.61,679.32,18.286,2.692,661.034
166.843,1.20807,56.031,672.372,21.107,3.139,651.265
190.677,1.19508,55.451,665.412,23.863,3.586,641.549
214.512,1.18209,54.872,658.464,26.554,4.033,631.91
238.347,1.1691,54.292,651.504,29.18,4.479,622.324
262.181,1.15611,53.712,644.544,31.742,4.925,612.802
286.016,1.14312,53.133,637.596,34.238,5.37,603.358
309.85,1.13013,52.553,630.636,36.67,5.815,593.966
333.685,1.11714,51.974,623.688,39.037,6.259,584.651
357.52,1.10415,51.394,616.728,41.339,6.703,575.389
381.354,1.09116,50.814,609.768,43.576,7.146,566.192
405.189,1.07817,50.235,602.82,45.748,7.589,557.072
429.024,1.06518,49.655,595.86,47.856,8.031,548.004
452.858,1.05219,49.076,588.912,49.898,8.473,539.014
476.693,1.0392,48.496,581.952,51.876,8.914,530.076
500.528,1.02621,47.916,574.992,53.789,9.355,521.203
524.362,1.01322,47.337,568.044,55.637,9.794,512.407
548.197,1.00023,46.757,561.084,57.42,10.234,503.664
572.032,0.98724,46.178,554.136,59.139,10.672,494.997
595.866,0.97425,45.598,547.176,60.792,11.11,486.384
619.701,0.96126,45.018,540.216,62.381,11.547,477.835
643.536,0.94827,44.439,533.268,63.905,11.984,469.363
667.37,0.93528,43.859,526.308,65.364,12.419,460.944
691.205,0.92229,43.28,519.36,66.758,12.854,452.602
715.04,0.9093,42.7,512.4,68.087,13.288,444.313
738.874,0.89631,42.12,505.44,69.352,13.721,436.088
762.709,0.88332,41.541,498.492,70.551,14.153,427.941
786.543,0.87033,40.961,491.532,71.686,14.584,419.846
810.378,0.85734,40.382,484.584,72.756,15.014,411.828
834.213,0.84435,39.802,477.624,73.761,15.443,403.863
858.047,0.83136,39.222,470.664,74.701,15.871,395.963
881.882,0.81837,38.643,463.716,75.577,16.298,388.139
905.717,0.80538,38.063,456.756,76.387,16.724,380.369
929.551,0.79239,37.484,449.808,77.133,17.148,372.675
953.386,0.7794,36.904,442.848,77.814,17.571,365.034
977.221,0.76641,36.324,435.888,78.43,17.993,357.458
1001.055,0.75342,35.745,428.94,78.981,18.413,349.959
1024.89,0.74043,35.165,421.98,79.468,18.832,342.512
1048.725,0.72744,34.586,415.032,79.889,19.249,335.143
1072.559,0.71445,34.006,408.072,80.246,19.665,327.826
1096.394,0.70146,33.426,401.112,80.538,20.079,320.574
1120.229,0.68847,32.847,394.164,80.764,20.49,313.4
1144.063,0.67548,32.267,387.204,80.927,20.9,306.277
1167.898,0.66249,31.688,380.256,81.024,21.308,299.232
1191.733,0.6495,31.108,373.296,81.056,21.714,292.24
1215.567,0.63651,30.528,366.336,81.024,22.117,285.312
1239.402,0.62352,29.949,359.388,80.927,22.518,278.461
1263.236,0.61053,29.369,352.428,80.764,22.916,271.664
1287.071,0.59754,28.79,345.48,80.537,23.312,264.943
1310.906,0.58455,28.21,338.52,80.246,23.705,258.274
1334.74,0.57156,27.63,331.56,79.889,24.095,251.671
1358.575,0.55857,27.051,324.612,79.468,24.481,245.144
1382.41,0.54558,26.471,317.652,78.981,24.864,238.671
1406.244,0.53259,25.892,310.704,78.43,25.243,232.274
1430.079,0.5196,25.312,303.744,77.814,25.618,225.93
1453.914,0.50661,24.732,296.784,77.133,25.99,219.651
1477.748,0.49362,24.153,289.836,76.387,26.355,213.449
1501.583,0.48063,23.573,282.876,75.577,26.717,207.299
1525.418,0.46764,22.994,275.928,74.701,27.073,201.227
1549.252,0.45465,22.414,268.968,73.761,27.424,195.207
1573.087,0.44166,21.834,262.008,72.756,27.769,189.252
1596.922,0.42867,21.255,255.06,71.686,28.106,183.374
1620.756,0.41568,20.675,248.1,70.551,28.437,177.549
1644.591,0.40269,20.096,241.152,69.352,28.759,171.8
1668.426,0.3897,19.516,234.192,68.087,29.073,166.105
1692.26,0.37671,18.936,227.232,66.758,29.379,160.474
1716.095,0.36372,18.357,220.284,65.364,29.673,154.92
1739.929,0.35073,17.777,213.324,63.905,29.957,149.419
1763.764,0.33774,17.198,206.376,62.381,30.227,143.995
1787.599,0.32475,16.618,199.416,60.792,30.485,138.624
1811.433,0.31176,16.038,192.456,59.139,30.729,133.317
1835.268,0.29877,15.459,185.508,57.42,30.953,128.088
1859.103,0.28578,14.879,178.548,55.637,31.161,122.911
1882.937,0.27279,14.3,171.6,53.789,31.346,117.811
1906.772,0.2598,13.72,164.64,51.876,31.509,112.764
1930.607,0.24681,13.14,157.68,49.898,31.645,107.782
1954.441,0.23382,12.561,150.732,47.856,31.749,102.876
1978.276,0.22083,11.981,143.772,45.748,31.82,98.024
2002.111,0.20784,11.402,136.824,43.576,31.848,93.248
2025.945,0.19485,10.822,129.864,41.339,31.833,88.525
2049.78,0.18186,10.242,122.904,39.037,31.762,83.867
2073.615,0.16887,9.663,115.956,36.67,31.624,79.286
2097.449,0.15588,9.083,108.996,34.238,31.412,74.758
2121.284,0.14289,8.504,102.048,31.742,31.105,70.306
2145.119,0.1299,7.924,95.088,29.18,30.687,65.908
2168.953,0.11691,7.344,88.128,26.554,30.131,61.574
2192.788,0.10392,6.765,81.18,23.863,29.395,57.317
2216.622,0.09093,6.185,74.22,21.107,28.438,53.113
2240.457,0.07794,5.606,67.272,18.286,27.182,48.986
2264.292,0.06495,5.026,60.312,15.401,25.536,44.911
2288.126,0.05196,4.446,53.352,12.45,23.336,40.902
2311.961,0.03897,3.867,46.404,9.435,20.332,36.969
2335.796,0.02598,3.287,39.444,6.355,16.111,33.089
2359.63,0.01299,2.708,32.496,3.21,9.878,29.286
2383.465,0,2.128,25.536,0,0,25.536
