10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
0,8.15,88.784,0.007,18,174.815,0,26.97,293.172,0.004,33.69,365.405,0.004,46.22,452.224,0,53.43,535.7
0.364,9.71,99.241,0.418,18.02,189.497,0.364,30.02,313.52,0.379,37.98,401.352,0.419,49.63,471.434,0.363,62.32,566.468
0.756,10.45,110.54,0.811,18.9,202.789,0.73,31.99,317.641,0.772,42.43,417.766,0.812,52.36,480.519,0.757,65.04,567.346
1.132,11.11,102.253,1.179,20.6,214.093,1.079,32.45,311.95,1.147,44.19,412.446,1.175,53.12,471.763,1.162,65.15,548.965
1.538,11.09,88.805,1.538,21.2,210.772,1.468,31.66,297.157,1.497,43.36,394.391,1.537,51.52,466.071,1.549,61.02,527.942
1.899,10.29,90.451,1.936,20.99,208.372,1.828,29.77,288.452,1.897,41.18,373.539,1.92,50.35,453.807,1.924,59.37,520.536
2.261,9.8,94.477,2.291,20.31,195.273,2.181,29.02,282.962,2.251,39.12,367.947,2.28,49.38,453.31,2.288,58.12,526.317
2.637,9.57,77.536,2.679,19.73,196.941,2.587,28.9,292.251,2.637,37.96,368.094,2.64,48.97,450.751,2.639,58.45,526.425
3.004,9.58,82.018,3.043,19.47,193.291,2.952,29.28,294.772,3.002,38.12,376.11,3.042,49.12,455.056,3.042,58.93,529.564
3.364,9.72,89.092,3.446,19.52,193.029,3.309,29.84,299.918,3.406,39,386.596,3.407,49.56,457.9,3.445,59.84,534.602
3.724,10.04,94.143,3.812,19.88,199.531,3.686,30.31,301.56,3.771,40.02,393.336,3.766,50.06,463.632,3.809,60.71,538.427
4.089,10.17,97.991,4.171,20.09,195.14,4.073,30.48,299.595,4.129,40.87,391.935,4.142,50.44,461.007,4.169,60.81,539.442
4.492,10.2,100.003,4.548,20.2,197.711,4.454,30.36,300.717,4.506,40.97,388.74,4.547,50.46,461.558,4.556,60.47,532.983
4.856,10.12,83.903,4.935,20.15,197.126,4.814,30.16,295.886,4.871,40.37,383.056,4.912,50.15,453.673,4.921,60.11,531.698
5.218,10.02,91.649,5.315,20.01,198.362,5.217,29.96,298.545,5.231,40.08,379.683,5.272,50,457.828,5.27,59.75,534.267
5.604,9.94,92.314,5.676,19.96,198.329,5.582,29.81,294.342,5.609,39.71,382.044,5.674,49.9,459.043,5.647,59.7,529.476
5.968,9.91,90.408,6.078,19.92,200.902,5.943,29.82,296.79,5.973,39.65,379.95,6.022,49.88,461.081,6.013,59.82,531.261
6.374,9.94,90.378,6.445,19.93,195.074,6.319,29.9,293.12,6.332,39.82,383.827,6.374,49.93,457.464,6.373,59.96,536.315
