2V Data,,,,4V Data,,,,6V Data,,,,7.2V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 7.2V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m)
0.004,1.66,2,0.036,0.005,2.52,4.001,0.072,0.006,4.1,6.001,0.114,0.003,5.22,7.201,0.895,0.005,7.63,8.001,0.149,0.005,9.79,10.001,0.19,0.006,11.86,12,0.209
0.394,1.74,2,0.036,0.42,3.8,4.001,0.071,0.42,5.57,6.001,0.112,0.418,5.01,7.201,0.883,0.381,7.7,8.001,0.147,0.42,9.73,10.001,0.187,0.378,11.67,12,0.206
0.806,1.74,2,0.035,0.794,3.77,4.001,0.07,0.785,5.54,6.001,0.111,0.822,4.81,7.201,0.866,0.797,7.64,8.001,0.145,0.784,9.6,10.001,0.185,0.78,11.45,12,0.202
1.169,1.74,2,0.036,1.199,3.75,4.001,0.07,1.209,5.49,6.001,0.111,1.197,4.67,7.201,0.852,1.196,7.58,8.001,0.144,1.181,9.49,10.001,0.183,1.178,11.26,12,0.199
1.573,1.74,2,0.035,1.601,3.75,4.001,0.069,1.618,5.45,6.001,0.11,1.611,4.58,7.201,0.841,1.563,7.52,8.001,0.143,1.556,9.37,10.001,0.181,1.574,11.04,12,0.197
1.961,1.75,2,0.035,1.96,3.71,4.001,0.069,2.013,5.43,6.001,0.11,1.987,4.47,7.201,0.832,1.957,7.46,8.001,0.143,1.93,9.25,10.001,0.179,1.961,10.86,12,0.194
2.336,1.75,2,0.035,2.309,3.7,4.001,0.069,2.362,5.41,6.001,0.109,2.36,4.39,7.201,0.824,2.306,7.41,8.002,0.142,2.28,9.15,10.001,0.178,2.325,10.7,12,0.191
2.683,1.75,2,0.035,2.657,3.68,4.001,0.069,2.711,5.38,6.001,0.109,2.709,4.3,7.201,0.817,2.654,7.36,8.001,0.141,2.627,9.06,10.001,0.177,2.684,10.53,12,0.188
3.033,1.75,2,0.035,3.007,3.68,4,0.068,3.06,5.37,6.001,0.108,3.059,4.15,7.201,0.812,3.003,7.31,8.001,0.141,2.978,8.98,10.001,0.176,3.033,10.38,12,0.186
3.381,1.75,2,0.035,3.383,3.66,4.001,0.068,3.409,5.34,6.001,0.108,3.407,4.1,7.201,0.806,3.379,7.26,8.001,0.14,3.327,8.89,10.001,0.174,3.383,10.22,12,0.184
3.758,1.74,2,0.035,3.729,3.65,4.001,0.068,3.784,5.32,6.001,0.107,3.767,4.05,7.201,0.801,3.729,7.2,8.002,0.139,3.702,8.81,10.001,0.173,3.759,10.12,12,0.182
4.106,1.75,2,0.035,4.081,3.64,4.001,0.068,4.134,5.3,6.001,0.107,4.123,3.99,7.201,0.796,4.077,7.16,8.002,0.139,4.051,8.73,10.001,0.171,4.107,10.01,12,0.18
4.456,1.74,2,0.035,4.429,3.63,4.001,0.068,4.483,5.28,6.001,0.107,4.481,3.95,7.201,0.792,4.427,7.13,8.001,0.138,4.401,8.66,10.001,0.17,4.457,9.91,12,0.179
4.804,1.74,2,0.035,4.804,3.63,4.001,0.068,4.833,5.27,6.001,0.107,4.831,3.9,7.201,0.788,4.777,7.09,8.001,0.137,4.75,8.6,10.001,0.169,4.806,9.8,12,0.178
5.154,1.75,2,0.035,5.154,3.63,4.001,0.068,5.182,5.25,6.001,0.107,5.179,3.84,7.201,0.785,5.152,7.05,8.001,0.136,5.126,8.53,10.001,0.168,5.155,9.71,12,0.176
5.529,1.75,2,0.035,5.504,3.62,4.001,0.067,5.531,5.24,6.001,0.107,5.53,3.82,7.201,0.781,5.501,7.01,8.001,0.136,5.492,8.47,10.001,0.167,5.531,9.61,12,0.174
5.879,1.74,2,0.035,5.853,3.6,4.001,0.067,5.88,5.22,6.001,0.106,5.906,3.79,7.201,0.779,5.849,6.98,8.001,0.135,5.852,8.41,10.001,0.166,5.88,9.53,12,0.173
6.229,1.74,2,0.035,6.202,3.6,4.001,0.067,6.257,5.2,6.001,0.106,6.256,3.77,7.201,0.776,6.199,6.95,8.001,0.135,6.21,8.36,10.001,0.165,6.229,9.45,12,0.171
6.577,1.74,2,0.035,6.578,3.59,4,0.067,6.605,5.19,6.001,0.106,6.603,3.75,7.201,0.773,6.548,6.91,8.002,0.135,6.592,8.33,10.001,0.165,6.579,9.38,12,0.17
6.927,1.74,2,0.035,6.928,3.59,4.001,0.067,6.955,5.17,6.001,0.105,6.954,3.74,7.201,0.769,6.923,6.89,8.002,0.134,6.952,8.28,10.001,0.164,6.927,9.3,12,0.169
7.303,1.74,2,0.035,7.277,3.58,4.001,0.067,7.303,5.16,6.001,0.106,7.302,3.71,7.201,0.768,7.274,6.86,8.001,0.134,7.327,8.25,10.001,0.163,7.288,9.23,12,0.168
7.652,1.74,2,0.035,7.626,3.58,4.001,0.067,7.653,5.14,6.001,0.105,7.676,3.7,7.201,0.765,7.623,6.83,8.001,0.133,7.676,8.2,10.001,0.163,7.67,9.16,12,0.166
8.002,1.74,2,0.035,7.974,3.56,4.001,0.067,8.03,5.13,6.001,0.105,8.027,3.68,7.201,0.763,7.972,6.81,8.001,0.133,8.026,8.16,10.001,0.162,8.029,9.11,12,0.165
8.351,1.74,2,0.035,8.324,3.57,4.001,0.066,8.379,5.11,6.001,0.104,8.376,3.67,7.201,0.761,8.321,6.76,8.001,0.132,8.375,8.11,10.001,0.161,8.379,9.04,12,0.165
8.701,1.74,2,0.035,8.673,3.56,4.001,0.067,8.728,5.1,6.001,0.105,8.725,3.64,7.201,0.759,8.67,6.74,8.001,0.132,8.724,8.07,10.001,0.16,8.753,8.98,12,0.163
9.049,1.74,2,0.034,9.05,3.55,4.001,0.067,9.077,5.09,6.001,0.104,9.074,3.62,7.201,0.757,9.046,6.72,8.001,0.131,9.099,8.02,10.001,0.159,9.102,8.92,12,0.162
9.427,1.74,2,0.035,9.397,3.55,4,0.066,9.425,5.08,6.001,0.104,9.449,3.62,7.201,0.754,9.394,6.7,8.001,0.13,9.449,7.97,10.001,0.158,9.451,8.86,12,0.161
9.775,1.74,2,0.035,9.748,3.55,4.001,0.066,9.801,5.06,6.001,0.104,9.799,3.6,7.201,0.753,9.745,6.68,8.001,0.13,9.797,7.94,10.001,0.158,9.802,8.8,12,0.16
10.124,1.73,2,0.035,10.096,3.55,4.001,0.066,10.15,5.06,6.001,0.103,10.147,3.59,7.201,0.75,10.094,6.66,8.001,0.13,10.147,7.91,10.001,0.157,10.151,8.75,12,0.16
10.474,1.73,2,0.035,10.446,3.54,4.001,0.066,10.5,5.05,6.001,0.103,10.497,3.56,7.201,0.75,10.444,6.64,8.001,0.13,10.496,7.88,10.001,0.157,10.527,8.69,12,0.159
10.823,1.74,2,0.034,10.822,3.54,4.001,0.066,10.85,5.03,6.001,0.103,10.872,3.55,7.201,0.748,10.819,6.61,8.001,0.13,10.846,7.84,10.001,0.156,10.875,8.63,12,0.158
11.198,1.73,2,0.034,11.171,3.53,4.001,0.066,11.197,5.02,6.001,0.103,11.223,3.54,7.201,0.746,11.168,6.6,8.001,0.13,11.222,7.8,10.001,0.155,11.225,8.59,12,0.157
11.546,1.73,2,0.035,11.52,3.53,4.001,0.066,11.574,5,6.001,0.103,11.573,3.53,7.201,0.744,11.517,6.58,8.001,0.129,11.569,7.77,10.001,0.155,11.574,8.55,12,0.156
11.897,1.73,2,0.035,11.869,3.53,4.001,0.066,11.923,5,6.001,0.102,11.92,3.52,7.201,0.742,11.866,6.56,8.001,0.128,11.922,7.74,10.001,0.154,11.922,8.51,12,0.156
