Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.187,10.55,126.6,0,0,126.6
59.001,0.18513,10.447,125.364,1.144,0.913,124.22
118.002,0.18326,10.344,124.128,2.265,1.825,121.863
177.002,0.18139,10.242,122.904,3.362,2.735,119.542
236.003,0.17952,10.139,121.668,4.437,3.647,117.231
295.004,0.17765,10.036,120.432,5.488,4.557,114.944
354.005,0.17578,9.933,119.196,6.516,5.467,112.68
413.006,0.17391,9.831,117.972,7.522,6.376,110.45
472.006,0.17204,9.728,116.736,8.504,7.285,108.232
531.007,0.17017,9.625,115.5,9.463,8.193,106.037
590.008,0.1683,9.522,114.264,10.398,9.1,103.866
649.009,0.16643,9.419,113.028,11.311,10.007,101.717
708.009,0.16456,9.317,111.804,12.201,10.913,99.603
767.01,0.16269,9.214,110.568,13.067,11.818,97.501
826.011,0.16082,9.111,109.332,13.911,12.724,95.421
885.012,0.15895,9.008,108.096,14.731,13.628,93.365
944.013,0.15708,8.906,106.872,15.528,14.53,91.344
1003.013,0.15521,8.803,105.636,16.303,15.433,89.333
1062.014,0.15334,8.7,104.4,17.054,16.335,87.346
1121.015,0.15147,8.597,103.164,17.781,17.236,85.383
1180.016,0.1496,8.494,101.928,18.486,18.136,83.442
1239.017,0.14773,8.392,100.704,19.168,19.034,81.536
1298.017,0.14586,8.289,99.468,19.826,19.932,79.642
1357.018,0.14399,8.186,98.232,20.462,20.83,77.77
1416.019,0.14212,8.083,96.996,21.074,21.727,75.922
1475.02,0.14025,7.981,95.772,21.664,22.62,74.108
1534.021,0.13838,7.878,94.536,22.23,23.515,72.306
1593.021,0.13651,7.775,93.3,22.773,24.408,70.527
1652.022,0.13464,7.672,92.064,23.293,25.301,68.771
1711.023,0.13277,7.569,90.828,23.789,26.191,67.039
1770.024,0.1309,7.467,89.604,24.263,27.078,65.341
1829.024,0.12903,7.364,88.368,24.714,27.967,63.654
1888.025,0.12716,7.261,87.132,25.141,28.854,61.991
1947.026,0.12529,7.158,85.896,25.546,29.741,60.35
2006.027,0.12342,7.055,84.66,25.927,30.625,58.733
2065.028,0.12155,6.953,83.436,26.285,31.503,57.151
2124.028,0.11968,6.85,82.2,26.62,32.384,55.58
2183.029,0.11781,6.747,80.964,26.932,33.264,54.032
2242.03,0.11594,6.644,79.728,27.221,34.142,52.507
2301.031,0.11407,6.542,78.504,27.487,35.014,51.017
2360.032,0.1122,6.439,77.268,27.729,35.887,49.539
