Time,Current (A),Power Output (W)
0.003,5.52,30.685
0.39,5.51,29.472
0.784,5.52,30.392
1.171,5.52,29.413
1.564,5.5,30.069
1.952,5.49,30.623
2.328,5.48,29.139
2.678,5.46,29.11
3.027,5.45,30.099
3.413,5.44,29.726
3.768,5.43,30.019
4.127,5.41,29.08
4.505,5.41,30.029
4.852,5.4,29.706
5.202,5.39,28.806
5.552,5.37,29.11
5.901,5.36,28.503
6.25,5.35,28.835
6.626,5.34,29.775
6.975,5.34,29.403
7.325,5.32,28.503
7.712,5.31,28.806
8.066,5.3,29.442
8.425,5.29,29.11
8.775,5.28,28.826
9.124,5.28,28.512
9.472,5.28,29.403
9.85,5.27,28.199
10.252,5.26,28.18
10.618,5.24,28.484
10.977,5.22,28.835
11.326,5.22,28.18
11.703,5.21,28.503
12.052,5.19,27.867
12.439,5.19,29.11
12.82,5.18,28.748
13.18,5.17,27.858
13.539,5.16,28.541
13.922,5.15,28.465
14.282,5.14,28.777
14.668,5.13,28.768
15.021,5.13,28.18
15.381,5.12,27.535
15.731,5.11,28.208
16.108,5.11,28.18
16.456,5.1,27.563
16.808,5.1,27.259
17.208,5.09,28.208
17.558,5.08,28.171
17.907,5.07,28.161
18.255,5.07,27.508
18.632,5.06,28.114
18.982,5.06,28.199
19.331,5.05,28.171
19.681,5.05,28.133
20.031,5.05,26.946
20.379,5.04,26.928
20.754,5.03,27.895
21.104,5.03,27.839
21.455,5.03,26.955
21.856,5.02,26.946
22.206,5.02,27.563
22.555,5.02,27.83
22.904,5.01,27.858
23.254,5.01,26.928
23.603,5,27.839
23.978,4.99,27.535
24.328,4.99,26.615
24.677,4.99,26.606
25.026,4.98,27.223
25.376,4.97,27.259
25.724,4.98,27.563
26.101,4.98,27.572
26.451,4.98,26.615
26.837,4.99,27.268
27.219,4.99,27.554
27.578,4.99,27.886
27.938,4.99,27.572
28.318,4.99,27.83
28.679,4.96,27.25
29.055,4.96,26.641
29.404,4.95,27.204
29.755,4.95,27.563
30.156,4.95,27.213
30.507,4.95,27.508
30.856,4.94,27.204
31.242,4.94,27.232
31.625,4.93,26.91
31.982,4.91,26.301
32.343,4.91,26.919
32.725,4.9,26.31
33.085,4.89,26.892
33.444,4.89,27.241
33.799,4.89,27.223
34.16,4.89,26.014
34.563,4.89,26.632
34.928,4.88,26.623
35.288,4.88,26.615
35.663,4.87,27.213
36.013,4.87,26.615
36.416,4.87,26.937
36.781,4.87,25.997
37.143,4.86,26.023
37.545,4.86,26.883
37.894,4.85,26.588
38.242,4.84,26.345
38.62,4.84,26.014
38.968,4.84,25.997
39.333,4.83,25.962
39.694,4.84,26.615
40.069,4.83,25.98
40.418,4.83,26.615
40.767,4.82,26.901
41.117,4.82,25.675
41.519,4.82,26.946
41.869,4.82,26.266
42.218,4.82,26.623
42.621,4.81,25.684
42.97,4.81,25.692
43.319,4.8,26.623
43.668,4.8,26.301
44.045,4.8,25.701
44.393,4.8,26.301
44.743,4.8,26.623
45.091,4.79,25.98
45.441,4.79,25.988
45.818,4.78,25.962
46.166,4.78,25.396
46.516,4.78,26.615
46.865,4.78,26.275
47.214,4.77,25.675
47.562,4.77,25.684
47.94,4.76,26.301
48.305,4.77,25.362
48.663,4.77,25.658
49.04,4.76,26.337
49.389,4.77,25.667
49.737,4.76,25.337
50.088,4.76,25.379
50.436,4.75,26.579
50.812,4.75,26.24
51.162,4.74,26.266
51.51,4.74,25.404
51.861,4.73,25.675
52.265,4.73,26.006
52.666,4.73,26.006
53.033,4.74,25.379
53.393,4.73,25.345
53.795,4.73,26.006
54.144,4.73,25.962
54.494,4.72,25.379
54.844,4.71,26.301
55.192,4.71,25.675
55.569,4.72,26.04
55.917,4.71,25.98
56.267,4.72,26.284
56.616,4.71,25.032
57.02,4.7,25.082
57.369,4.69,25.371
57.718,4.68,25.954
58.093,4.69,26.006
58.443,4.7,25.962
58.792,4.69,25.057
59.141,4.69,25.954
59.491,4.69,25.667
59.84,4.69,25.692
60.217,4.69,25.954
60.582,4.68,25.988
60.941,4.67,25.362
61.316,4.68,24.744
61.681,4.67,25.962
62.047,4.67,25.057
62.418,4.67,25.066
