2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m)
0.002,1.86,2,0.039,0.005,3.51,4.001,0.075,0.006,5.4,6.001,0.115,0.006,5.39,8.002,0.144,0.005,10.16,10.001,0.192,0,1.13,12,0.199
0.419,1.93,2,0.038,0.39,4.43,4.001,0.074,0.377,6.12,6.001,0.114,0.383,9.13,8.002,0.142,0.419,10.01,10.001,0.189,0.402,12.51,12,0.195
0.806,1.93,2,0.037,0.794,4.43,4.001,0.075,0.777,6.09,6.001,0.113,0.794,9.02,8.002,0.14,0.82,9.84,10.001,0.187,0.821,12.15,12,0.191
1.181,1.94,2,0.037,1.198,4.43,4.001,0.074,1.181,6.06,6.001,0.112,1.197,8.92,8.002,0.139,1.226,9.7,10.001,0.185,1.192,11.83,12,0.189
1.562,1.94,2,0.037,1.592,4.42,4.001,0.074,1.557,6.02,6.001,0.112,1.601,8.83,8.002,0.137,1.618,9.57,10.001,0.182,1.6,11.55,12,0.187
1.932,1.93,2,0.037,1.958,4.42,4.001,0.074,1.941,5.98,6.001,0.111,1.957,8.73,8.002,0.137,1.983,9.44,10.001,0.18,2.008,11.29,12,0.185
2.281,1.93,2,0.037,2.306,4.41,4.001,0.074,2.29,5.95,6.001,0.111,2.306,8.65,8.002,0.135,2.333,9.32,10.001,0.178,2.377,11.07,12,0.183
2.631,1.93,2,0.037,2.656,4.41,4.001,0.074,2.64,5.93,6.001,0.11,2.656,8.55,8.002,0.134,2.681,9.2,10.001,0.176,2.762,10.88,12,0.181
2.98,1.94,2,0.037,3.004,4.4,4.001,0.073,2.989,5.89,6.001,0.11,3.003,8.48,8.002,0.134,3.032,9.11,10.001,0.175,3.111,10.69,12,0.179
3.329,1.93,2,0.037,3.355,4.39,4.001,0.073,3.339,5.86,6.001,0.109,3.354,8.41,8.002,0.133,3.381,9.01,10.001,0.173,3.459,10.52,12,0.177
3.677,1.93,2,0.037,3.73,4.39,4.001,0.073,3.714,5.84,6.001,0.109,3.73,8.34,8.002,0.132,3.757,8.93,10.001,0.172,3.81,10.35,12,0.175
4.052,1.93,2,0.037,4.08,4.38,4.001,0.073,4.063,5.81,6.001,0.109,4.081,8.28,8.002,0.131,4.106,8.84,10.001,0.17,4.159,10.2,12,0.174
4.403,1.93,2,0.037,4.431,4.37,4.001,0.073,4.412,5.79,6.001,0.108,4.43,8.21,8.002,0.131,4.456,8.76,10.001,0.169,4.535,10.06,12,0.172
4.751,1.93,2,0.037,4.776,4.36,4.001,0.073,4.762,5.76,6.001,0.108,4.778,8.15,8.002,0.13,4.804,8.68,10.001,0.168,4.883,9.93,12,0.171
5.1,1.93,2,0.037,5.127,4.35,4.001,0.072,5.11,5.73,6.001,0.108,5.128,8.09,8.002,0.129,5.154,8.61,10.001,0.166,5.234,9.82,12,0.17
5.449,1.92,2,0.037,5.475,4.34,4.001,0.073,5.486,5.71,6.001,0.108,5.504,8.04,8.002,0.128,5.502,8.55,10.001,0.165,5.582,9.73,12,0.168
5.824,1.92,2,0.037,5.853,4.33,4.001,0.072,5.835,5.69,6.001,0.107,5.853,7.98,8.002,0.127,5.879,8.48,10.001,0.165,5.933,9.63,12,0.167
6.174,1.92,2,0.036,6.202,4.33,4.001,0.073,6.184,5.67,6.001,0.107,6.2,7.93,8.002,0.127,6.228,8.43,10.001,0.164,6.281,9.52,12,0.166
6.522,1.92,2,0.036,6.551,4.32,4.001,0.072,6.536,5.65,6.001,0.107,6.552,7.89,8.002,0.126,6.577,8.36,10.001,0.162,6.658,9.44,12,0.164
6.873,1.92,2,0.036,6.899,4.32,4.001,0.072,6.882,5.63,6.001,0.106,6.899,7.86,8.002,0.126,6.927,8.3,10.001,0.161,7.005,9.35,12,0.163
7.248,1.92,2,0.036,7.25,4.3,4.001,0.072,7.259,5.61,6.001,0.106,7.274,7.85,8.002,0.126,7.276,8.25,10.001,0.161,7.358,9.27,12,0.162
7.597,1.92,2,0.036,7.625,4.3,4.001,0.072,7.607,5.59,6.001,0.106,7.626,7.81,8.002,0.125,7.652,8.2,10.001,0.16,7.705,9.19,12,0.161
7.947,1.92,2,0.037,7.974,4.3,4.001,0.072,7.957,5.58,6.001,0.105,7.973,7.77,8.001,0.125,8,8.15,10.001,0.159,8.053,9.11,12,0.16
