Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
29.564,0.10692,5.917,71.004,0.331,0.466,70.673
59.129,0.10584,5.859,70.308,0.655,0.932,69.653
88.693,0.10476,5.802,69.624,0.973,1.398,68.651
118.257,0.10368,5.745,68.94,1.284,1.862,67.656
147.822,0.1026,5.687,68.244,1.588,2.327,66.656
177.386,0.10152,5.63,67.56,1.886,2.792,65.674
206.95,0.10044,5.573,66.876,2.177,3.255,64.699
236.515,0.09936,5.515,66.18,2.461,3.719,63.719
266.079,0.09828,5.458,65.496,2.738,4.18,62.758
295.643,0.0972,5.401,64.812,3.009,4.643,61.803
325.208,0.09612,5.343,64.116,3.273,5.105,60.843
354.772,0.09504,5.286,63.432,3.531,5.567,59.901
384.336,0.09396,5.229,62.748,3.782,6.027,58.966
413.901,0.09288,5.172,62.064,4.026,6.487,58.038
443.465,0.0918,5.114,61.368,4.263,6.947,57.105
473.029,0.09072,5.057,60.684,4.494,7.406,56.19
502.594,0.08964,5,60,4.718,7.863,55.282
532.158,0.08856,4.942,59.304,4.935,8.322,54.369
561.722,0.08748,4.885,58.62,5.146,8.779,53.474
591.287,0.0864,4.828,57.936,5.35,9.234,52.586
620.851,0.08532,4.77,57.24,5.547,9.691,51.693
650.415,0.08424,4.713,56.556,5.738,10.146,50.818
679.98,0.08316,4.656,55.872,5.922,10.599,49.95
709.544,0.08208,4.598,55.176,6.099,11.054,49.077
739.108,0.081,4.541,54.492,6.269,11.504,48.223
768.673,0.07992,4.484,53.808,6.433,11.955,47.375
798.237,0.07884,4.426,53.112,6.59,12.408,46.522
827.801,0.07776,4.369,52.428,6.741,12.858,45.687
857.366,0.07668,4.312,51.744,6.885,13.306,44.859
886.93,0.0756,4.254,51.048,7.022,13.756,44.026
916.494,0.07452,4.197,50.364,7.152,14.201,43.212
946.059,0.07344,4.14,49.68,7.276,14.646,42.404
975.623,0.07236,4.082,48.984,7.393,15.093,41.591
1005.187,0.07128,4.025,48.3,7.503,15.534,40.797
1034.752,0.0702,3.968,47.616,7.607,15.976,40.009
1064.316,0.06912,3.91,46.92,7.704,16.419,39.216
1093.88,0.06804,3.853,46.236,7.794,16.857,38.442
1123.445,0.06696,3.796,45.552,7.878,17.295,37.674
1153.009,0.06588,3.739,44.868,7.955,17.73,36.913
1182.573,0.0648,3.681,44.172,8.025,18.168,36.147
1212.138,0.06372,3.624,43.488,8.088,18.598,35.4
1241.702,0.06264,3.567,42.804,8.145,19.029,34.659
1271.266,0.06156,3.509,42.108,8.195,19.462,33.913
1300.831,0.06048,3.452,41.424,8.239,19.889,33.185
1330.395,0.0594,3.395,40.74,8.276,20.314,32.464
1359.959,0.05832,3.337,40.044,8.306,20.742,31.738
1389.524,0.05724,3.28,39.36,8.329,21.161,31.031
1419.088,0.05616,3.223,38.676,8.346,21.579,30.33
1448.652,0.05508,3.165,37.98,8.356,22.001,29.624
1478.217,0.054,3.108,37.296,8.359,22.413,28.937
1507.781,0.05292,3.051,36.612,8.356,22.823,28.256
1537.345,0.05184,2.993,35.916,8.346,23.238,27.57
1566.909,0.05076,2.936,35.232,8.329,23.64,26.903
1596.474,0.04968,2.879,34.548,8.306,24.042,26.242
1626.038,0.0486,2.821,33.852,8.276,24.448,25.576
1655.602,0.04752,2.764,33.168,8.239,24.84,24.929
1685.167,0.04644,2.707,32.484,8.195,25.228,24.289
1714.731,0.04536,2.649,31.788,8.145,25.623,23.643
1744.295,0.04428,2.592,31.104,8.088,26.003,23.016
1773.86,0.0432,2.535,30.42,8.025,26.381,22.395
1803.424,0.04212,2.477,29.724,7.955,26.763,21.769
1832.988,0.04104,2.42,29.04,7.878,27.128,21.162
1862.553,0.03996,2.363,28.356,7.794,27.486,20.562
1892.117,0.03888,2.306,27.672,7.704,27.84,19.968
1921.681,0.0378,2.248,26.976,7.607,28.199,19.369
1951.246,0.03672,2.191,26.292,7.503,28.537,18.789
1980.81,0.03564,2.134,25.608,7.393,28.87,18.215
2010.374,0.03456,2.076,24.912,7.276,29.207,17.636
2039.939,0.03348,2.019,24.228,7.152,29.52,17.076
2069.503,0.0324,1.962,23.544,7.022,29.825,16.522
2099.067,0.03132,1.904,22.848,6.885,30.134,15.963
2128.632,0.03024,1.847,22.164,6.741,30.414,15.423
2158.196,0.02916,1.79,21.48,6.59,30.68,14.89
2187.76,0.02808,1.732,20.784,6.433,30.952,14.351
2217.325,0.027,1.675,20.1,6.269,31.189,13.831
2246.889,0.02592,1.618,19.416,6.099,31.412,13.317
2276.453,0.02484,1.56,18.72,5.922,31.635,12.798
2306.018,0.02376,1.503,18.036,5.738,31.814,12.298
2335.582,0.02268,1.446,17.352,5.547,31.967,11.805
2365.146,0.0216,1.388,16.656,5.35,32.121,11.306
2394.711,0.02052,1.331,15.972,5.146,32.219,10.826
2424.275,0.01944,1.274,15.288,4.935,32.28,10.353
2453.839,0.01836,1.216,14.592,4.718,32.333,9.874
2483.404,0.01728,1.159,13.908,4.494,32.312,9.414
2512.968,0.0162,1.102,13.224,4.263,32.237,8.961
2542.532,0.01512,1.044,12.528,4.026,32.136,8.502
2572.097,0.01404,0.987,11.844,3.782,31.932,8.062
2601.661,0.01296,0.93,11.16,3.531,31.64,7.629
2631.225,0.01188,0.873,10.476,3.273,31.243,7.203
