Time,Current (A),Power Output (W)
0.001,6.03,32.207
0.417,6.05,31.165
0.825,6.01,31.196
1.229,5.98,31.529
1.603,5.95,30.915
1.989,5.93,30.905
2.338,5.9,30.843
2.687,5.87,30.541
3.036,5.85,30.863
3.384,5.83,30.24
3.733,5.8,29.928
4.083,5.76,30.26
4.46,5.74,29.938
4.808,5.72,29.948
5.16,5.71,30.27
5.508,5.69,29.636
5.857,5.68,29.646
6.234,5.67,29.938
6.6,5.66,29.596
6.959,5.65,29.636
7.333,5.64,29.334
7.682,5.62,29.383
8.032,5.61,29.636
8.381,5.6,29.314
8.73,5.61,29.042
9.107,5.58,29.324
9.455,5.55,28.7
9.804,5.54,29.003
10.154,5.54,28.983
10.502,5.53,28.379
10.853,5.51,29.012
11.23,5.49,28.72
11.578,5.49,29.042
11.928,5.48,28.993
12.275,5.47,29.022
12.626,5.47,28.067
13.002,5.46,28.7
13.366,5.46,28.71
13.728,5.44,28.7
14.1,5.43,28.72
14.451,5.43,28.388
14.8,5.43,28.388
15.149,5.42,28.7
15.499,5.41,28.067
15.874,5.4,28.067
16.224,5.38,28.105
16.574,5.4,28.095
16.921,5.39,28.379
17.271,5.39,28.417
17.62,5.37,28.086
17.98,5.36,27.755
18.335,5.36,28.076
18.696,5.36,27.802
19.044,5.37,28.095
19.395,5.36,28.388
19.77,5.35,27.802
20.135,5.33,27.755
20.495,5.33,27.792
20.87,5.32,28.086
21.218,5.3,28.095
21.569,5.29,27.727
21.918,5.28,27.471
22.267,5.27,27.811
22.645,5.26,27.15
22.992,5.26,27.746
23.342,5.26,27.434
23.692,5.24,27.517
24.04,5.24,27.443
24.39,5.25,27.462
24.767,5.25,27.15
25.115,5.25,27.113
25.465,5.24,27.471
25.814,5.23,27.471
26.164,5.22,27.425
26.566,5.21,26.829
26.915,5.21,27.416
27.263,5.2,27.168
27.624,5.2,26.811
28.008,5.2,27.131
28.365,5.18,27.168
28.715,5.18,26.847
29.091,5.18,26.856
29.441,5.18,27.168
29.843,5.16,26.838
30.192,5.16,27.15
30.542,5.16,26.838
30.89,5.15,26.561
31.241,5.15,27.159
31.59,5.16,26.802
31.949,5.14,27.204
32.303,5.15,26.856
32.664,5.17,27.471
33.014,5.16,26.517
33.415,5.14,27.141
33.766,5.13,27.195
34.115,5.14,26.865
34.463,5.15,26.829
34.84,5.14,27.177
35.189,5.14,26.865
35.537,5.15,26.811
35.888,5.13,26.847
36.236,5.13,26.508
36.585,5.12,25.919
36.946,5.11,26.838
37.301,5.11,26.526
37.661,5.09,26.178
38.064,5.08,26.231
38.413,5.09,26.178
38.762,5.06,26.499
39.11,5.07,26.508
39.46,5.05,25.893
39.82,5.04,26.526
40.202,5.05,25.867
40.564,5.04,26.526
40.965,5.05,26.222
41.315,5.03,26.196
41.664,5.03,25.875
42.04,5.02,26.231
42.389,5,25.91
42.737,5.02,26.526
43.086,5.03,26.552
43.437,5.03,25.954
43.785,5.04,26.231
44.134,5.04,26.517
44.511,5.05,26.213
44.859,5.04,26.213
45.21,5.03,26.543
45.559,5.02,25.927
45.945,5.02,26.205
46.301,5,26.552
46.659,5,25.581
47.01,5,26.213
47.384,4.99,25.927
47.735,5.01,26.205
48.084,5,25.901
48.432,5,26.231
48.781,5.01,25.884
49.158,5.02,25.91
49.508,5.03,26.205
49.873,5.03,26.196
50.232,5,26.205
50.608,4.98,25.564
50.958,4.99,26.187
51.36,4.99,25.884
51.726,4.99,26.222
52.086,5.01,26.257
52.489,5.01,26.231
52.837,5,25.875
53.187,5.02,25.875
