2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m)
0.001,3.44,2,1.127,0.006,9.2,4.001,2.303,0.005,11.7,6.001,2.764,0.005,9.73,8.001,3.244,0.006,17.45,10.001,3.577,0,24.46,12,3.996
0.392,3.58,2,1.121,0.42,9.16,4.001,2.241,0.386,11.54,6.001,2.698,0.421,15.3,8.002,3.206,0.418,17.56,10.001,3.52,0.379,22.15,12,0.959
0.798,3.58,2,1.113,0.799,9.1,4.001,2.205,0.796,11.39,6.001,2.646,0.823,14.94,8.002,3.15,0.792,17.16,10.001,3.481,0.779,2.32,12,0.646
1.171,3.58,2,1.107,1.198,9.04,4.001,2.182,1.233,11.3,6.001,2.615,1.188,14.68,8.002,3.114,1.2,16.84,10.001,3.455,1.161,1.53,12,0.596
1.572,3.58,2,1.102,1.6,9.02,4.001,2.163,1.645,11.16,6.001,2.592,1.585,14.49,8.001,3.088,1.612,16.56,10.001,3.434,1.571,1.14,12,0.386
1.96,3.58,2,1.097,1.956,8.97,4.001,2.149,2.039,11.12,6.001,2.575,1.931,14.28,8.002,3.066,1.993,16.31,10.001,3.416,1.956,0.9,12,0.301
2.334,3.57,2,1.093,2.306,8.9,4.001,2.137,2.389,11.01,6.001,2.558,2.282,14.12,8.002,3.048,2.375,16.06,10.001,3.401,2.305,0.77,12,0.303
2.684,3.57,2,1.09,2.654,8.87,4.001,2.126,2.739,10.94,6.001,2.547,2.629,13.96,8.002,3.033,2.736,15.82,10.001,3.387,2.654,0.7,12,0.306
3.032,3.56,2,1.087,3.003,8.79,4.001,2.117,3.087,10.84,6.001,2.536,3.005,13.8,8.002,3.02,3.084,15.64,10.001,3.375,3.004,0.66,12,0.308
3.407,3.55,2,1.084,3.354,8.84,4.001,2.109,3.438,10.8,6.001,2.526,3.353,13.65,8.002,3.006,3.459,15.49,10.001,3.365,3.352,0.64,12,0.311
3.757,3.55,2,1.081,3.73,8.76,4.001,2.101,3.786,10.77,6.001,2.518,3.704,13.54,8.002,2.996,3.808,15.34,10.001,3.355,3.703,0.62,12,0.312
