Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,2.471,13.169,158.028,0,0,158.028
2.9,2.44629,13.044,156.528,0.743,0.475,155.785
5.8,2.42158,12.92,155.04,1.471,0.949,153.569
8.7,2.39687,12.795,153.54,2.184,1.422,151.356
11.6,2.37216,12.671,152.052,2.882,1.895,149.17
14.5,2.34745,12.546,150.552,3.564,2.367,146.988
17.4,2.32274,12.422,149.064,4.232,2.839,144.832
20.3,2.29803,12.297,147.564,4.885,3.31,142.679
23.2,2.27332,12.173,146.076,5.523,3.781,140.553
26.1,2.24861,12.048,144.576,6.146,4.251,138.43
29,2.2239,11.924,143.088,6.754,4.72,136.334
31.9,2.19919,11.799,141.588,7.347,5.189,134.241
34.8,2.17448,11.675,140.1,7.924,5.656,132.176
37.7,2.14977,11.55,138.6,8.487,6.123,130.113
40.6,2.12506,11.426,137.112,9.035,6.59,128.077
43.5,2.10035,11.301,135.612,9.568,7.055,126.044
46.4,2.07564,11.177,134.124,10.086,7.52,124.038
49.3,2.05093,11.052,132.624,10.588,7.983,122.036
52.2,2.02622,10.928,131.136,11.076,8.446,120.06
55.1,2.00151,10.803,129.636,11.549,8.909,118.087
58,1.9768,10.679,128.148,12.007,9.37,116.141
60.9,1.95209,10.554,126.648,12.449,9.83,114.199
63.8,1.92738,10.43,125.16,12.877,10.288,112.283
66.7,1.90267,10.305,123.66,13.29,10.747,110.37
69.6,1.87796,10.181,122.172,13.688,11.204,108.484
72.5,1.85325,10.056,120.672,14.07,11.66,106.602
75.4,1.82854,9.931,119.172,14.438,12.115,104.734
78.3,1.80383,9.807,117.684,14.791,12.568,102.893
81.2,1.77912,9.682,116.184,15.128,13.021,101.056
84.1,1.75441,9.558,114.696,15.451,13.471,99.245
87,1.7297,9.433,113.196,15.759,13.922,97.437
89.9,1.70499,9.309,111.708,16.051,14.369,95.657
92.8,1.68028,9.184,110.208,16.329,14.817,93.879
95.7,1.65557,9.06,108.72,16.592,15.261,92.128
98.6,1.63086,8.935,107.22,16.839,15.705,90.381
101.5,1.60615,8.811,105.732,17.072,16.146,88.66
104.4,1.58144,8.686,104.232,17.289,16.587,86.943
107.3,1.55673,8.562,102.744,17.492,17.025,85.252
110.2,1.53202,8.437,101.244,17.68,17.463,83.564
113.1,1.50731,8.313,99.756,17.852,17.896,81.904
116,1.4826,8.188,98.256,18.01,18.33,80.246
118.9,1.45789,8.064,96.768,18.152,18.758,78.616
121.8,1.43318,7.939,95.268,18.28,19.188,76.988
124.7,1.40847,7.815,93.78,18.393,19.613,75.387
127.6,1.38376,7.69,92.28,18.49,20.037,73.79
130.5,1.35905,7.566,90.792,18.573,20.457,72.219
133.4,1.33434,7.441,89.292,18.64,20.875,70.652
136.3,1.30963,7.317,87.804,18.693,21.289,69.111
139.2,1.28492,7.192,86.304,18.73,21.702,67.574
142.1,1.26021,7.068,84.816,18.753,22.11,66.063
145,1.2355,6.943,83.316,18.76,22.517,64.556
147.9,1.21079,6.818,81.816,18.753,22.921,63.063
150.8,1.18608,6.694,80.328,18.73,23.317,61.598
153.7,1.16137,6.569,78.828,18.693,23.714,60.135
156.6,1.13666,6.445,77.34,18.64,24.101,58.7
159.5,1.11195,6.32,75.84,18.573,24.49,57.267
162.4,1.08724,6.196,74.352,18.49,24.868,55.862
165.3,1.06253,6.071,72.852,18.393,25.247,54.459
168.2,1.03782,5.947,71.364,18.28,25.615,53.084
171.1,1.01311,5.822,69.864,18.152,25.982,51.712
174,0.9884,5.698,68.376,18.01,26.34,50.366
176.9,0.96369,5.573,66.876,17.852,26.694,49.024
179.8,0.93898,5.449,65.388,17.68,27.039,47.708
182.7,0.91427,5.324,63.888,17.492,27.379,46.396
185.6,0.88956,5.2,62.4,17.289,27.707,45.111
188.5,0.86485,5.075,60.9,17.072,28.033,43.828
191.4,0.84014,4.951,59.412,16.839,28.343,42.573
