Time,Current (A),Power Output (W)
0.003,10.9,46.303
0.383,10.57,45.607
0.795,10.49,44.401
1.198,10.73,43.332
1.574,10.83,45.267
1.962,10.42,44.327
2.312,10.37,43.197
2.699,10.64,43.735
3.08,10.7,44.973
3.439,10.27,44.425
3.789,10.23,42.553
4.166,10.47,42.492
4.53,10.45,43.54
4.89,10.1,43.565
5.266,10.07,41.959
5.615,10.28,42.159
5.964,10.24,42.112
6.313,10.27,40.899
6.663,10.02,41.884
7.039,9.76,41.855
7.388,9.87,41.399
7.736,10.11,40.48
8.086,9.79,41.571
8.436,9.66,41.122
8.784,9.85,40.359
9.161,10.04,40.921
9.509,9.72,42.175
9.859,10.03,39.658
10.207,9.78,41.642
10.558,9.55,41.009
10.907,9.81,39.584
11.284,9.9,39.534
11.685,9.57,40.517
12.051,9.46,40.864
12.411,9.69,39.242
12.76,9.88,38.989
13.11,9.49,40.783
13.487,9.44,41.143
13.888,9.7,39.073
14.255,9.75,39.406
14.614,9.36,40.617
14.964,9.35,40.544
15.367,9.67,39.206
15.715,9.55,39.554
16.065,9.25,39.855
16.441,9.38,38.185
16.791,9.51,39.317
17.14,9.35,40.157
17.489,9.6,38.385
17.84,9.5,38.792
18.186,9.16,39.584
18.547,9.32,37.563
18.902,9.58,37.653
19.262,9.29,39.153
19.611,9.13,39.198
19.96,9.27,37.763
20.31,9.5,37.869
20.669,9.14,39.538
21.024,9.06,39.515
21.386,9.26,37.696
21.787,9.41,38.254
22.138,9.24,37.963
22.541,8.96,37.161
22.905,9.01,37.141
23.265,9.26,37.865
23.64,8.94,38.666
23.991,8.81,36.48
24.339,8.96,36.201
24.688,9.17,36.826
25.037,8.89,37.485
25.385,8.68,36.023
25.736,8.88,36.685
26.113,8.92,36.564
26.461,8.58,34.944
26.811,8.64,35.778
27.214,8.46,35.399
27.563,8.59,34.132
27.912,8.73,34.218
28.26,8.53,33.536
28.611,8.12,8.574
28.986,2.6,0
29.336,1.28,0
29.686,0.92,0
30.034,0.75,0
30.384,0.66,0
30.743,0.61,0
31.126,0.58,0
31.486,0.55,0
31.86,0.53,0
32.25,0.52,0
32.613,0.51,0
32.991,0.5,0
33.392,0.5,0
33.741,0.49,0
34.092,0.49,0
34.438,0.48,0
34.788,0.48,0
35.165,0.48,0
35.513,0.48,0
35.864,0.47,0
36.211,0.47,0
36.562,0,0
36.91,0,0
37.287,0,0
37.636,0,0
37.985,0,0
38.334,0,0
38.686,0,0
39.086,0,0
39.435,0,0
39.784,0,0
40.133,0,0
40.511,0,0
40.859,0,0
41.208,0,0
41.556,0,0
41.919,0,0
42.299,0,0
42.657,0,0
43.034,0,0
43.41,0,0
43.771,0,0
44.152,0,0
44.511,0,0
44.874,0,0
45.253,0,0
45.611,0,0
45.963,0,0
46.311,0,0
46.688,0,0
47.036,0,0
47.399,0,0
47.789,0,0
48.138,0,0
48.487,0,0
48.836,0,0
49.184,0,0
49.536,0,0
49.895,0,0
50.25,0,0
50.623,0,0
51.013,0,0
51.362,0,0
51.711,0,0
52.061,0,0
52.409,0,0
52.769,0,0
53.154,0,0
53.511,0,0
53.887,0,0
54.237,0,0
54.639,0,0
55.006,0,0
55.365,0,0
55.727,0,0
56.106,0,0
56.465,0,0
56.828,0,0
57.207,0,0
57.567,0,0
57.927,0,0
58.309,0,0
58.681,0,0
59.06,0,0
59.421,0,0
59.808,0,0
60.163,0,0
60.523,0,0
60.871,0,0
61.248,0,0
61.624,0,0
61.98,0,0
62.36,0,0
62.714,0,0
