Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.575,32.039,384.468,0,0,384.468
18.686,0.56925,31.732,380.784,1.114,0.293,379.67
37.373,0.5635,31.425,377.1,2.205,0.585,374.895
56.059,0.55775,31.118,373.416,3.274,0.877,370.142
74.746,0.552,30.81,369.72,4.321,1.169,365.399
93.432,0.54625,30.503,366.036,5.345,1.46,360.691
112.118,0.5405,30.196,362.352,6.346,1.751,356.006
130.805,0.53475,29.889,358.668,7.325,2.042,351.343
149.491,0.529,29.582,354.984,8.281,2.333,346.703
168.178,0.52325,29.275,351.3,9.215,2.623,342.085
186.864,0.5175,28.968,347.616,10.127,2.913,337.489
205.55,0.51175,28.66,343.92,11.015,3.203,332.905
224.237,0.506,28.353,340.236,11.882,3.492,328.354
242.923,0.50025,28.046,336.552,12.726,3.781,323.826
261.609,0.4945,27.739,332.868,13.547,4.07,319.321
280.296,0.48875,27.432,329.184,14.346,4.358,314.838
298.982,0.483,27.125,325.5,15.122,4.646,310.378
317.669,0.47725,26.817,321.804,15.876,4.933,305.928
336.355,0.4715,26.51,318.12,16.608,5.221,301.512
355.041,0.46575,26.203,314.436,17.316,5.507,297.12
373.728,0.46,25.896,310.752,18.003,5.793,292.749
392.414,0.45425,25.589,307.068,18.667,6.079,288.401
411.101,0.4485,25.282,303.384,19.308,6.364,284.076
429.787,0.44275,24.975,299.7,19.927,6.649,279.773
448.473,0.437,24.667,296.004,20.523,6.933,275.481
467.16,0.43125,24.36,292.32,21.097,7.217,271.223
485.846,0.4255,24.053,288.636,21.648,7.5,266.988
504.533,0.41975,23.746,284.952,22.177,7.783,262.775
523.219,0.414,23.439,281.268,22.684,8.065,258.584
541.905,0.40825,23.132,277.584,23.167,8.346,254.417
560.592,0.4025,22.825,273.9,23.629,8.627,250.271
579.278,0.39675,22.517,270.204,24.068,8.907,246.136
597.964,0.391,22.21,266.52,24.484,9.187,242.036
616.651,0.38525,21.903,262.836,24.878,9.465,237.958
635.337,0.3795,21.596,259.152,25.249,9.743,233.903
654.024,0.37375,21.289,255.468,25.598,10.02,229.87
672.71,0.368,20.982,251.784,25.924,10.296,225.86
691.396,0.36225,20.674,248.088,26.228,10.572,221.86
710.083,0.3565,20.367,244.404,26.509,10.846,217.895
728.769,0.35075,20.06,240.72,26.768,11.12,213.952
747.456,0.345,19.753,237.036,27.004,11.392,210.032
766.142,0.33925,19.446,233.352,27.218,11.664,206.134
784.828,0.3335,19.139,229.668,27.409,11.934,202.259
803.515,0.32775,18.832,225.984,27.578,12.204,198.406
822.201,0.322,18.524,222.288,27.724,12.472,194.564
