Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.047,2.626,31.512,0,0,31.512
17.797,0.04653,2.602,31.224,0.087,0.279,31.137
35.594,0.04606,2.578,30.936,0.172,0.556,30.764
53.391,0.04559,2.554,30.648,0.255,0.832,30.393
71.188,0.04512,2.53,30.36,0.336,1.107,30.024
88.985,0.04465,2.506,30.072,0.416,1.383,29.656
106.782,0.04418,2.481,29.772,0.494,1.659,29.278
124.579,0.04371,2.457,29.484,0.57,1.933,28.914
142.375,0.04324,2.433,29.196,0.645,2.209,28.551
160.172,0.04277,2.409,28.908,0.717,2.48,28.191
177.969,0.0423,2.385,28.62,0.788,2.753,27.832
195.766,0.04183,2.361,28.332,0.858,3.028,27.474
213.563,0.04136,2.337,28.044,0.925,3.298,27.119
231.36,0.04089,2.313,27.756,0.991,3.57,26.765
249.157,0.04042,2.289,27.468,1.055,3.841,26.413
266.954,0.03995,2.265,27.18,1.117,4.11,26.063
284.751,0.03948,2.24,26.88,1.177,4.379,25.703
302.548,0.03901,2.216,26.592,1.236,4.648,25.356
320.345,0.03854,2.192,26.304,1.293,4.916,25.011
338.142,0.03807,2.168,26.016,1.348,5.181,24.668
355.939,0.0376,2.144,25.728,1.401,5.445,24.327
373.736,0.03713,2.12,25.44,1.453,5.711,23.987
391.532,0.03666,2.096,25.152,1.503,5.976,23.649
409.329,0.03619,2.072,24.864,1.551,6.238,23.313
427.126,0.03572,2.048,24.576,1.598,6.502,22.978
444.923,0.03525,2.024,24.288,1.642,6.761,22.646
462.72,0.03478,1.999,23.988,1.685,7.024,22.303
480.517,0.03431,1.975,23.7,1.726,7.283,21.974
498.314,0.03384,1.951,23.412,1.766,7.543,21.646
516.111,0.03337,1.927,23.124,1.804,7.801,21.32
533.908,0.0329,1.903,22.836,1.839,8.053,20.997
551.705,0.03243,1.879,22.548,1.874,8.311,20.674
569.502,0.03196,1.855,22.26,1.906,8.562,20.354
587.299,0.03149,1.831,21.972,1.937,8.816,20.035
605.096,0.03102,1.807,21.684,1.966,9.067,19.718
622.893,0.03055,1.783,21.396,1.993,9.315,19.403
640.689,0.03008,1.758,21.096,2.018,9.566,19.078
658.486,0.02961,1.734,20.808,2.042,9.814,18.766
676.283,0.02914,1.71,20.52,2.064,10.058,18.456
694.08,0.02867,1.686,20.232,2.084,10.301,18.148
711.877,0.0282,1.662,19.944,2.102,10.54,17.842
729.674,0.02773,1.638,19.656,2.119,10.78,17.537
747.471,0.02726,1.614,19.368,2.134,11.018,17.234
765.268,0.02679,1.59,19.08,2.147,11.253,16.933
783.065,0.02632,1.566,18.792,2.158,11.484,16.634
800.862,0.02585,1.542,18.504,2.168,11.716,16.336
818.659,0.02538,1.517,18.204,2.176,11.953,16.028
836.456,0.02491,1.493,17.916,2.182,12.179,15.734
854.253,0.02444,1.469,17.628,2.186,12.401,15.442
