2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,
Time,Amps,Volts,Torque 2V (N á m),Time,Amps,Volts,Torque 4V (N á m),Time,Amps,Volts,Torque 6V (N á m),Time,Amps,Volts,Torque 8V (N á m),Time,Amps,Volts,Torque 10V (N á m),Time,Amps,Volts,Torque 12V (N á m)
0.001,23.86,2,0.156,0.001,43.11,4.001,0.315,0.001,19.69,6.001,0.33,0.001,32.97,8.002,0.54,0,67.68,10.001,0.577,0,125.78,12,0.654
0.381,26.47,2,0.155,0.381,51.57,4.001,0.308,0.365,74.21,6.001,0.328,0.388,94.76,8.002,0.53,0.363,128.05,10.001,0.568,0.387,131.3,12,0.629
0.784,26.39,2,0.155,0.794,50.33,4.001,0.303,0.74,74.04,6.001,0.327,0.795,92.61,8.001,0.523,0.765,123.14,10.001,0.571,0.792,124.43,12,0.595
1.161,26.29,2,0.155,1.2,49.44,4.001,0.301,1.144,72.84,6.001,0.294,1.168,90.89,8.002,0.518,1.171,115.32,10.001,0.553,1.197,113.66,12,0.576
1.564,26.22,2,0.154,1.571,48.98,4.001,0.299,1.518,69.58,6.001,0.291,1.57,89.73,8.002,0.511,1.545,110.56,10.001,0.53,1.57,107.12,12,0.568
1.949,26.13,2,0.153,1.958,48.57,4.001,0.298,1.906,67.52,6.001,0.284,1.958,88.18,8.002,0.506,1.93,105.56,10.001,0.516,1.955,106.72,12,0.544
2.324,26.05,2,0.153,2.307,48.34,4,0.296,2.256,65.76,6.001,0.28,2.332,86.81,8.002,0.504,2.307,102.74,10.001,0.504,2.332,99.17,12.002,0.096
2.674,25.95,2,0.153,2.655,48,4.001,0.295,2.605,64.52,6.001,0.274,2.68,86.8,8.002,0.506,2.654,100.01,10.001,0.489,2.68,16.18,12,0.123
3.022,25.86,2,0.152,3.006,47.88,4.001,0.295,2.953,63.6,6.001,0.275,3.03,86.57,8.002,0.503,3.004,96.92,10.001,0.475,3.03,20.64,12,0.089
3.372,25.78,2,0.152,3.38,47.8,4.001,0.294,3.303,63.79,6.001,0.273,3.378,86.13,8.002,0.497,3.363,94.1,10.001,0.409,3.378,17.16,12,0.139
3.748,25.7,2,0.151,3.73,47.64,4.001,0.294,3.653,63.74,6.001,0.275,3.754,85.17,8.002,0.492,3.719,80.33,10.001,0.418,3.738,22.46,12,0.191
4.095,25.61,2,0.151,4.078,47.5,4.001,0.293,4.001,64.12,6.001,0.274,4.103,84,8.002,0.478,4.079,80.27,10.001,0.38,4.093,25.76,12,0.146
4.445,25.51,2,0.15,4.429,47.29,4.001,0.293,4.376,63.72,6.001,0.272,4.453,81.38,8.002,0.479,4.428,82.94,10.001,0.322,4.453,0,12,0.002
4.794,25.41,2,0.149,4.776,47.29,4.001,0.291,4.727,63.16,6.001,0.272,4.803,81.49,8.002,0.477,4.778,75.83,10.001,0.328,4.802,0,12,0.002
5.17,25.26,2,0.149,5.152,47.11,4.001,0.29,5.075,63.29,6.001,0.271,5.151,80.95,8.002,0.472,5.125,76.92,10.001,0.322,5.153,0,12,0.002
5.519,25.12,2,0.148,5.501,46.84,4,0.291,5.425,62.95,6.001,0.27,5.5,80.13,8.002,0.467,5.501,74.52,10.001,0.301,5.512,0,12,0.002
5.869,24.98,2,0.147,5.85,46.87,4.001,0.289,5.773,62.68,6.001,0.269,5.879,79.06,8.002,0.464,5.851,71.81,10.001,0.321,5.866,0,12,0.002
6.218,24.86,2,0.147,6.201,46.72,4.001,0.289,6.149,62.43,6.001,0.268,6.225,78.35,8.002,0.461,6.2,73.27,10.001,0.314,6.226,0,12,0.002
6.565,24.76,2,0.146,6.55,46.68,4.001,0.289,6.499,62.09,6.001,0.267,6.578,77.7,8.002,0.454,6.548,72.46,10.001,0.312,6.577,0,12,0.002
