Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.363,68.932,827.184,0,0,827.184
96.222,0.35937,68.263,819.156,3.621,0.442,815.535
192.444,0.35574,67.594,811.128,7.169,0.884,803.959
288.666,0.35211,66.925,803.1,10.644,1.325,792.456
384.888,0.34848,66.256,795.072,14.046,1.767,781.026
481.11,0.34485,65.587,787.044,17.374,2.208,769.67
577.332,0.34122,64.918,779.016,20.63,2.648,758.386
673.554,0.33759,64.248,770.976,23.812,3.089,747.164
769.776,0.33396,63.579,762.948,26.921,3.529,736.027
865.998,0.33033,62.91,754.92,29.957,3.968,724.963
962.22,0.3267,62.241,746.892,32.919,4.407,713.973
1058.442,0.32307,61.572,738.864,35.809,4.846,703.055
1154.664,0.31944,60.903,730.836,38.625,5.285,692.211
1250.886,0.31581,60.234,722.808,41.369,5.723,681.439
1347.108,0.31218,59.565,714.78,44.039,6.161,670.741
1443.33,0.30855,58.896,706.752,46.636,6.599,660.116
1539.552,0.30492,58.227,698.724,49.16,7.036,649.564
1635.773,0.30129,57.558,690.696,51.61,7.472,639.086
1731.995,0.29766,56.889,682.668,53.988,7.908,628.68
1828.217,0.29403,56.219,674.628,56.292,8.344,618.336
1924.439,0.2904,55.55,666.6,58.523,8.779,608.077
2020.661,0.28677,54.881,658.572,60.681,9.214,597.891
2116.883,0.28314,54.212,650.544,62.766,9.648,587.778
2213.105,0.27951,53.543,642.516,64.778,10.082,577.738
2309.327,0.27588,52.874,634.488,66.717,10.515,567.771
2405.549,0.27225,52.205,626.46,68.582,10.948,557.878
2501.771,0.26862,51.536,618.432,70.374,11.379,548.058
2597.993,0.26499,50.867,610.404,72.093,11.811,538.311
2694.215,0.26136,50.198,602.376,73.739,12.241,528.637
2790.437,0.25773,49.529,594.348,75.312,12.671,519.036
2886.659,0.2541,48.86,586.32,76.812,13.101,509.508
2982.881,0.25047,48.191,578.292,78.238,13.529,500.054
3079.103,0.24684,47.521,570.252,79.592,13.957,490.66
3175.325,0.24321,46.852,562.224,80.872,14.384,481.352
3271.547,0.23958,46.183,554.196,82.079,14.81,472.117
3367.769,0.23595,45.514,546.168,83.213,15.236,462.955
3463.991,0.23232,44.845,538.14,84.274,15.66,453.866
3560.213,0.22869,44.176,530.112,85.261,16.084,444.851
3656.435,0.22506,43.507,522.084,86.176,16.506,435.908
3752.657,0.22143,42.838,514.056,87.017,16.928,427.039
3848.879,0.2178,42.169,506.028,87.785,17.348,418.243
3945.101,0.21417,41.5,498,88.48,17.767,409.52
4041.323,0.21054,40.831,489.972,89.102,18.185,400.87
4137.545,0.20691,40.162,481.944,89.651,18.602,392.293
4233.767,0.20328,39.492,473.904,90.126,19.018,383.778
4329.989,0.19965,38.823,465.876,90.528,19.432,375.348
4426.211,0.19602,38.154,457.848,90.858,19.845,366.99
4522.433,0.19239,37.485,449.82,91.114,20.256,358.706
4618.655,0.18876,36.816,441.792,91.296,20.665,350.496
4714.877,0.18513,36.147,433.764,91.406,21.073,342.358
4811.099,0.1815,35.478,425.736,91.443,21.479,334.293
4907.32,0.17787,34.809,417.708,91.406,21.883,326.302
5003.542,0.17424,34.14,409.68,91.296,22.285,318.384
5099.764,0.17061,33.471,401.652,91.114,22.685,310.538
5195.986,0.16698,32.802,393.624,90.858,23.082,302.766
5292.208,0.16335,32.133,385.596,90.528,23.477,295.068
5388.43,0.15972,31.464,377.568,90.126,23.87,287.442
5484.652,0.15609,30.794,369.528,89.651,24.261,279.877
5580.874,0.15246,30.125,361.5,89.102,24.648,272.398
5677.096,0.14883,29.456,353.472,88.48,25.032,264.992
5773.318,0.1452,28.787,345.444,87.785,25.412,257.659
5869.54,0.14157,28.118,337.416,87.017,25.789,250.399
5965.762,0.13794,27.449,329.388,86.176,26.162,243.212
6061.984,0.13431,26.78,321.36,85.261,26.531,236.099
6158.206,0.13068,26.111,313.332,84.274,26.896,229.058
6254.428,0.12705,25.442,305.304,83.213,27.256,222.091
6350.65,0.12342,24.773,297.276,82.079,27.61,215.197
6446.872,0.11979,24.104,289.248,80.872,27.959,208.376
6543.094,0.11616,23.435,281.22,79.592,28.302,201.628
6639.316,0.11253,22.765,273.18,78.238,28.64,194.942
6735.538,0.1089,22.096,265.152,76.812,28.969,188.34
6831.76,0.10527,21.427,257.124,75.312,29.29,181.812
6927.982,0.10164,20.758,249.096,73.739,29.603,175.357
7024.204,0.09801,20.089,241.068,72.094,29.906,168.974
7120.426,0.09438,19.42,233.04,70.374,30.198,162.666
7216.648,0.09075,18.751,225.012,68.582,30.479,156.43
7312.87,0.08712,18.082,216.984,66.717,30.747,150.267
7409.092,0.08349,17.413,208.956,64.778,31.001,144.178
7505.314,0.07986,16.744,200.928,62.766,31.238,138.162
7601.536,0.07623,16.075,192.9,60.681,31.457,132.219
7697.758,0.0726,15.406,184.872,58.523,31.656,126.349
7793.98,0.06897,14.737,176.844,56.292,31.831,120.552
7890.202,0.06534,14.067,168.804,53.988,31.983,114.816
7986.424,0.06171,13.398,160.776,51.61,32.101,109.166
8082.645,0.05808,12.729,152.748,49.16,32.184,103.588
8178.867,0.05445,12.06,144.72,46.636,32.225,98.084
8275.089,0.05082,11.391,136.692,44.039,32.218,92.653
8371.311,0.04719,10.722,128.664,41.369,32.153,87.295
8467.533,0.04356,10.053,120.636,38.625,32.018,82.011
8563.755,0.03993,9.384,112.608,35.809,31.8,76.799
8659.977,0.0363,8.715,104.58,32.919,31.477,71.661
8756.199,0.03267,8.046,96.552,29.957,31.027,66.595
8852.421,0.02904,7.377,88.524,26.921,30.411,61.603
8948.643,0.02541,6.708,80.496,23.812,29.582,56.684
9044.865,0.02178,6.038,72.456,20.629,28.471,51.827
9141.087,0.01815,5.369,64.428,17.374,26.967,47.054
9237.309,0.01452,4.7,56.4,14.046,24.904,42.354
9333.531,0.01089,4.031,48.372,10.644,22.004,37.728
9429.753,0.00726,3.362,40.344,7.169,17.77,33.175
9525.975,0.00363,2.693,32.316,3.621,11.205,28.695
9622.197,0,2.024,24.288,0,0,24.288
