Time,Current (A),Power Output (W)
0,62.17,290.96
0.391,62.21,282.793
0.78,62.76,282.387
1.155,62.02,287.602
1.504,61.67,278.852
1.852,61.14,280.492
2.217,60.83,283.581
2.594,60.47,276.582
3.004,60.21,275.42
3.493,59.66,272.668
3.857,59.37,276.554
4.216,58.85,273.492
4.567,58.21,271.618
4.914,58.41,264.199
5.294,57.59,274.935
5.658,57.5,271.451
6.017,57.11,266.294
6.378,56.88,268.252
6.742,56.09,261.193
7.093,55.56,259.072
7.496,54.86,259.259
7.846,54.78,258.503
8.194,54.59,259.152
8.544,54.19,257.164
8.893,54.25,254.129
9.28,53.63,259.604
9.634,53.41,255.071
9.994,52.91,255.097
10.342,52.2,251.777
10.718,51.84,244.868
11.069,51.25,246.934
11.417,50.57,241.882
11.767,50.41,246.065
12.116,50.04,244.642
12.466,47.88,204.546
12.815,39.53,232.132
13.191,45.97,229.446
13.54,46.02,222.961
13.89,44.55,228.262
14.24,44.3,196.025
14.642,37.64,179.441
14.991,37.14,188.233
15.34,39.5,172.523
15.689,33.59,137.032
16.05,28.93,150.261
16.403,31.14,181.109
16.763,32.79,155.561
17.113,33.26,161.959
17.462,32.35,196.88
17.84,36.37,201.182
18.203,37.73,182.706
18.563,38.49,191.617
18.94,37.94,172.959
19.342,37.87,177.092
19.709,37.62,132.56
20.068,33.42,188.657
20.471,34.34,182.188
20.82,34.2,145.406
21.168,34.4,152.933
21.519,34.29,178.348
21.867,32.61,139.277
22.226,28.03,133.63
22.581,27.34,157.898
22.943,29.13,134.456
23.293,27.62,124.347
23.695,27.89,151.281
24.045,25.82,142.344
24.393,26.95,127.863
24.742,27.23,130.623
25.092,28.77,145.856
25.466,28.72,126.528
25.817,27.77,147.403
26.166,27.27,132.923
26.515,27.18,118.11
26.864,25.51,154.648
27.213,27.23,137.293
27.602,28.79,121.098
27.996,29.36,124.257
28.368,27.7,132.828
28.718,27.7,129.097
29.067,27.4,140.915
29.416,27.62,149.797
29.765,27.69,108.261
30.143,28.21,133.304
30.491,27.13,148.916
30.841,24.22,124.82
31.189,27.07,134.082
31.54,26.06,132.157
31.915,26.05,136.83
32.266,26.27,121.376
32.667,26.72,132.333
33.034,25.45,146.634
33.393,24.92,112.012
33.741,28.47,131.265
34.119,27.83,128.556
34.483,27.99,136.746
34.842,25.05,145.676
35.219,25.18,113.31
35.566,24.38,121.314
35.917,25.44,131.684
36.266,25.14,140.727
36.615,27.3,129.895
36.976,27.4,136.858
37.359,26.16,127.431
37.716,29.05,140.539
38.078,27.72,143.221
38.443,27.59,150.785
38.845,26.2,136.394
39.211,27.85,153.325
39.569,29.89,123.353
39.92,26.28,147.419
40.323,30.17,143.993
40.672,27.81,126.32
41.021,29.06,172.534
41.397,31.06,140.525
41.746,28.43,148.686
42.096,27.93,132.773
42.445,27.37,118.317
42.795,26.07,110.383
43.143,24.04,117.26
43.493,25.08,115.529
43.871,23.49,126.152
44.272,24.98,119.606
44.638,26.37,138.616
44.997,26,104.154
45.347,27.04,117.501
45.723,25.21,118.584
46.072,27,145.781
46.422,26.85,121.489
46.809,26.19,126.593
47.173,26.96,144.375
47.522,26.49,128.833
47.871,26.75,128.358
48.221,26.79,139.129
48.581,27.25,137.125
48.963,27.15,145.401
49.321,27.51,123.606
49.672,29.46,128.266
50.048,29.83,142.957
50.415,27.14,123.556
50.773,28.07,156.023
51.148,27.72,136.606
51.498,30.15,153.62
51.847,26.74,142.285
52.196,27.84,167.464
52.546,26.11,128.661
52.922,26.59,128.714
53.27,26.73,136.999
53.62,26.91,124.257
53.969,27.26,139.908
54.318,27.54,161.253
54.668,29.43,127.711
55.047,30.46,132.828
55.411,27.89,113.228
55.769,26.93,136.423
56.145,28.43,119.618
56.495,28.24,162.225
56.845,28.15,143.412
57.247,28.04,130.436
57.598,27.55,132.36
58,29.08,159.426
58.367,28.74,126.632
58.727,29.3,116.623
59.075,27.1,117.128
59.451,26.24,117.586
59.799,28.46,141.194
60.149,29.02,138.009
60.499,28.5,135.67
60.902,27.42,121.14
61.251,27.9,144.141
61.6,28.55,155.242
61.95,28.37,134.22
62.298,27.86,120.282
62.675,29,121.489
63.023,29.5,159.556
63.378,29.22,148.747
63.763,28.53,144.244
64.124,27.25,121.401
64.474,29.09,145.178
64.822,30.55,136.676
65.172,29.88,154.031
65.521,29.51,137.427
65.897,28.08,115.363
66.246,27.44,158.371
66.595,29.66,136.886
66.944,29.4,148.579
67.294,28.93,162.492
67.643,29.7,136.48
68.019,29.36,145.401
68.368,31.21,163.564
68.717,31.07,147.358
69.067,32.71,130.529
69.416,32.96,141.15
69.765,30.58,129.895
70.142,29.66,144.999
70.491,30.99,130.556
70.84,29.34,155.959
71.189,29.49,147.373
71.539,32.67,148.717
71.915,30.72,156.232
72.281,28.35,160.448
72.64,29.35,141.892
73.016,29.48,139.243
73.365,30.22,143.668
73.714,30.1,160.596
74.063,28.82,145.624
74.413,29.38,149.053
74.788,31.12,145.077
75.139,30.39,159.099
75.488,30.25,133.236
75.837,31.59,153.043
76.187,31.86,162.375
