2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,,,,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m),,,,,
0.001,0.76,2,0.037,0.005,1.5,4.001,0.066,0,4.66,6.001,0.109,0,6.19,8.002,0.121,0.001,2.39,10.001,0.157,0.004,8.07,12,0.2,,Stall Torque @ 2V,0,0.037,0.04
0.417,1.56,2,0.036,0.42,3.47,4.001,0.065,0.365,4.84,6.001,0.108,0.365,6.34,8.001,0.121,0.416,9,10.001,0.154,0.404,11.37,12,0.197,,Stall Torque @ 4V,0,0.066,0.07
0.805,1.57,2,0.036,0.822,3.47,4.001,0.064,0.77,4.84,6.001,0.108,0.781,6.35,8.002,0.121,0.8,9.02,10.001,0.153,0.768,11.26,12,0.195,,Stall Torque @ 6V,0,0.109,0.11
1.187,1.57,2,0.036,1.199,3.48,4.001,0.064,1.171,4.83,6.001,0.107,1.198,6.37,8.002,0.121,1.17,9.01,10.001,0.152,1.179,11.16,12,0.193,,Stall Torque @ 7.2V,0,0,0
1.602,1.57,2,0.036,1.599,3.47,4.001,0.064,1.547,4.82,6.001,0.106,1.563,6.37,8.001,0.121,1.573,8.99,10.001,0.152,1.578,11.04,12,0.191,,Stall Torque @ 8V,0,0.121,0.12
1.948,1.57,2,0.036,1.984,3.46,4.001,0.063,1.931,4.81,6.001,0.106,1.958,6.35,8.001,0.12,1.93,9.04,10.001,0.152,1.932,10.94,12,0.191,,Stall Torque @ 10V,0,0.157,0.16
2.306,1.57,2,0.036,2.361,3.46,4.001,0.064,2.281,4.8,6.001,0.106,2.308,6.32,8.001,0.12,2.28,9.03,10.001,0.152,2.281,10.83,12,0.189,,Stall Torque @ 12V,0,0.2,0.2
2.681,1.57,2,0.036,2.711,3.46,4.001,0.063,2.631,4.78,6.001,0.105,2.657,6.3,8.002,0.12,2.629,8.98,10.001,0.151,2.629,10.74,12,0.188,,,,,
3.03,1.57,2,0.036,3.058,3.45,4.001,0.063,2.98,4.78,6.001,0.105,3.006,6.27,8.001,0.119,3.004,8.9,10.001,0.15,2.979,10.64,12,0.187,,,,,
3.379,1.57,2,0.036,3.433,3.44,4.001,0.063,3.328,4.77,6.001,0.105,3.382,6.24,8.001,0.119,3.354,8.84,10.001,0.15,3.357,10.55,12,0.186,,,,,
3.73,1.57,2,0.035,3.784,3.44,4.001,0.063,3.689,4.77,6.001,0.105,3.73,6.21,8.002,0.119,3.704,8.78,10.001,0.149,3.705,10.46,12,0.184,,,,,
4.078,1.57,2,0.035,4.133,3.43,4.001,0.063,4.045,4.75,6.001,0.104,4.081,6.18,8.002,0.118,4.053,8.71,10.001,0.148,4.055,10.36,12,0.183,,,,,
4.453,1.57,2,0.035,4.482,3.42,4.001,0.062,4.403,4.74,6.001,0.104,4.428,6.16,8.002,0.118,4.401,8.66,10.001,0.148,4.404,10.26,12,0.182,,,,,
4.803,1.57,2,0.035,4.831,3.42,4.001,0.063,4.753,4.74,6.001,0.104,4.778,6.13,8.002,0.118,4.762,8.6,10.001,0.148,4.754,10.17,12,0.18,,,,,
5.153,1.57,2,0.035,5.206,3.41,4.001,0.062,5.102,4.73,6.001,0.104,5.153,6.1,8.002,0.117,5.143,8.55,10.001,0.147,5.102,10.09,12,0.179,,,,,
5.502,1.57,2,0.035,5.556,3.41,4.001,0.062,5.452,4.73,6.001,0.104,5.502,6.07,8.001,0.117,5.503,8.5,10.001,0.147,5.478,10,12,0.178,,,,,
5.851,1.57,2,0.035,5.905,3.4,4.001,0.062,5.827,4.72,6.001,0.103,5.852,6.05,8.001,0.117,5.864,8.44,10.001,0.146,5.828,9.92,12,0.177,,,,,
6.227,1.57,2,0.035,6.254,3.4,4.001,0.062,6.177,4.71,6.001,0.103,6.2,6.03,8.001,0.117,6.218,8.4,10.001,0.146,6.177,9.85,12,0.176,,,,,
6.575,1.57,2,0.035,6.603,3.39,4.001,0.062,6.525,4.7,6.001,0.103,6.549,6.01,8.002,0.117,6.579,8.36,10.001,0.146,6.525,9.78,12,0.175,,,,,
6.926,1.57,2,0.035,6.981,3.38,4.001,0.062,6.875,4.7,6.001,0.103,6.926,5.98,8.001,0.116,6.928,8.31,10.001,0.146,6.875,9.7,12,0.173,,,,,
7.273,1.57,2,0.035,7.33,3.38,4.001,0.062,7.224,4.69,6.001,0.102,7.274,5.96,8.001,0.116,7.276,8.28,10.001,0.146,7.251,9.63,12,0.173,,,,,
7.625,1.57,2,0.035,7.679,3.38,4.001,0.061,7.573,4.69,6.001,0.102,7.623,5.94,8.001,0.116,7.653,8.24,10.001,0.145,7.6,9.56,12,0.171,,,,,
7.973,1.57,2,0.035,8.027,3.37,4.001,0.061,7.949,4.68,6.001,0.102,7.973,5.93,8.002,0.116,8.002,8.19,10.001,0.145,7.951,9.49,12,0.17,,,,,
8.349,1.57,2,0.035,8.377,3.36,4.001,0.061,8.297,4.67,6.001,0.102,8.322,5.91,8.002,0.115,8.352,8.15,10.001,0.145,8.298,9.42,12,0.169,,,,,
8.697,1.57,2,0.035,8.725,3.36,4.001,0.061,8.647,4.66,6.001,0.102,8.673,5.9,8.001,0.115,8.699,8.12,10.001,0.144,8.649,9.36,12,0.168,,,,,
9.047,1.57,2,0.035,9.103,3.36,4.001,0.062,8.994,4.66,6.001,0.102,9.048,5.88,8.002,0.115,9.049,8.08,10.001,0.144,8.998,9.28,12,0.167,,,,,
9.397,1.57,2,0.035,9.452,3.35,4.001,0.062,9.37,4.66,6.001,0.102,9.397,5.87,8.002,0.115,9.398,8.05,10.001,0.144,9.374,9.2,12,0.166,,,,,
9.746,1.57,2,0.035,9.801,3.35,4.001,0.061,9.721,4.65,6.001,0.101,9.745,5.85,8.002,0.115,9.774,8.02,10.001,0.144,9.722,9.13,12,0.166,,,,,
10.095,1.57,2,0.035,10.149,3.35,4.001,0.061,10.07,4.65,6.001,0.101,10.094,5.84,8.001,0.115,10.123,7.98,10.001,0.143,10.072,9.11,12,0.164,,,,,
10.469,1.57,2,0.035,10.498,3.34,4.001,0.061,10.418,4.64,6.001,0.101,10.445,5.82,8.001,0.115,10.472,7.95,10.001,0.143,10.422,9.07,12,0.164,,,,,
10.82,1.57,2,0.035,10.848,3.34,4.001,0.061,10.768,4.63,6.001,0.101,10.821,5.81,8.002,0.114,10.82,7.93,10.001,0.142,10.797,9.03,12,0.164,,,,,
11.168,1.57,2,0.035,11.223,3.34,4.001,0.061,11.117,4.63,6.001,0.101,11.169,5.79,8.002,0.114,11.197,7.9,10.001,0.142,11.146,8.99,12,0.162,,,,,
11.518,1.57,2,0.035,11.573,3.33,4.001,0.061,11.493,4.62,6.001,0.101,11.519,5.78,8.001,0.114,11.546,7.86,10.001,0.142,11.495,8.96,12,0.162,,,,,
11.865,1.57,2,0.035,11.921,3.33,4.001,0.061,11.841,4.62,6.001,0.101,11.868,5.77,8.001,0.114,11.895,7.85,10.001,0.141,11.845,8.92,12,0.162,,,,,
12.241,1.57,2,0.035,12.272,3.33,4.001,0.061,12.192,4.61,6.001,0.1,12.218,5.76,8.002,0.114,12.244,7.82,10.001,0.141,12.195,8.87,12,0.161,,,,,
12.591,1.57,2,0.035,12.619,3.32,4.001,0.061,12.541,4.61,6.001,0.1,12.567,5.75,8.002,0.114,12.593,7.8,10.001,0.14,12.543,8.83,12,0.16,,,,,
12.94,1.57,2,0.035,12.995,3.32,4.001,0.061,12.889,4.6,6.001,0.1,12.942,5.73,8.001,0.114,12.943,7.77,10.001,0.14,12.92,8.79,12,0.16,,,,,
13.29,1.57,2,0.035,13.344,3.32,4.001,0.06,13.238,4.6,6.001,0.1,13.29,5.72,8.001,0.113,13.319,7.74,10.001,0.14,13.269,8.74,12,0.159,,,,,
13.665,1.57,2,0.035,13.693,3.31,4.001,0.061,13.616,4.59,6.001,0.1,13.64,5.71,8.001,0.113,13.668,7.71,10.001,0.14,13.619,8.72,12,0.159,,,,,
14.015,1.57,2,0.035,14.042,3.31,4.001,0.061,13.963,4.59,6.001,0.099,13.989,5.71,8.001,0.113,14.018,7.69,10.001,0.139,13.967,8.69,12,0.158,,,,,
