Speed (RPM),Torque (N·m),Current (A),Supplied Power (W),Output Power (W),Efficiency (%),Power Dissipation (W)
0,0.158,8.456,101.472,0,0,101.472
45.207,0.15642,8.381,100.572,0.741,0.737,99.831
90.413,0.15484,8.306,99.672,1.466,1.471,98.206
135.62,0.15326,8.231,98.772,2.177,2.204,96.595
180.827,0.15168,8.156,97.872,2.872,2.934,95
226.034,0.1501,8.081,96.972,3.553,3.664,93.419
271.24,0.14852,8.006,96.072,4.219,4.391,91.853
316.447,0.14694,7.931,95.172,4.869,5.116,90.303
361.654,0.14536,7.856,94.272,5.505,5.839,88.767
406.86,0.14378,7.781,93.372,6.126,6.561,87.246
452.067,0.1422,7.706,92.472,6.732,7.28,85.74
497.274,0.14062,7.631,91.572,7.323,7.997,84.249
542.481,0.13904,7.556,90.672,7.899,8.712,82.773
587.687,0.13746,7.481,89.772,8.46,9.424,81.312
632.894,0.13588,7.406,88.872,9.006,10.134,79.866
678.101,0.1343,7.331,87.972,9.537,10.841,78.435
723.308,0.13272,7.256,87.072,10.053,11.546,77.019
768.514,0.13114,7.181,86.172,10.554,12.248,75.618
813.721,0.12956,7.106,85.272,11.04,12.947,74.232
858.928,0.12798,7.031,84.372,11.511,13.643,72.861
904.134,0.1264,6.956,83.472,11.968,14.338,71.504
949.341,0.12482,6.881,82.572,12.409,15.028,70.163
994.548,0.12324,6.806,81.672,12.835,15.715,68.837
1039.755,0.12166,6.731,80.772,13.247,16.4,67.525
1084.961,0.12008,6.656,79.872,13.643,17.081,66.229
1130.168,0.1185,6.582,78.984,14.025,17.757,64.959
1175.375,0.11692,6.507,78.084,14.391,18.43,63.693
1220.581,0.11534,6.432,77.184,14.743,19.101,62.441
1265.788,0.11376,6.357,76.284,15.079,19.767,61.205
1310.995,0.11218,6.282,75.384,15.401,20.43,59.983
1356.202,0.1106,6.207,74.484,15.708,21.089,58.776
1401.408,0.10902,6.132,73.584,15.999,21.742,57.585
1446.615,0.10744,6.057,72.684,16.276,22.393,56.408
1491.822,0.10586,5.982,71.784,16.538,23.039,55.246
1537.028,0.10428,5.907,70.884,16.785,23.68,54.099
1582.235,0.1027,5.832,69.984,17.016,24.314,52.968
1627.442,0.10112,5.757,69.084,17.233,24.945,51.851
1672.649,0.09954,5.682,68.184,17.435,25.571,50.749
1717.855,0.09796,5.607,67.284,17.622,26.19,49.662
1763.062,0.09638,5.532,66.384,17.794,26.805,48.59
1808.269,0.0948,5.457,65.484,17.951,27.413,47.533
1853.476,0.09322,5.382,64.584,18.094,28.016,46.49
1898.682,0.09164,5.307,63.684,18.221,28.612,45.463
