Time,Current (A),Power Output (W),Max Power,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.54,28.555,28.555,,,,,,,,,,,,,,,,,,,,,,,,,
0.415,5.24,28.233,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 2V,0,0.037,0.04
0.805,5.27,28.243,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 4V,0,0.066,0.07
1.185,5.27,28.253,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 6V,0,0.109,0.11
1.599,5.27,28.204,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 7.2V,0,0,0
1.987,5.26,28.214,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 8V,0,0.121,0.12
2.344,5.26,28.272,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 10V,0,0.157,0.16
2.702,5.25,28.253,,,,,,,,,,,,,,,,,,,,,,,Stall Torque @ 12V,0,0.2,0.2
3.06,5.25,28.204,,,,,,,,,,,,,,,,,,,,,,,,,,
3.409,5.24,28.253,,,,,,,,,,,,,,,,,,,,,,,,,,
3.758,5.24,27.958,,,,,,,,,,,,,,,,,,,,,,,,,,
4.135,5.23,27.939,,,,,,,,,,,,,,,,,,,,,,,,,,
4.483,5.23,27.901,,,,,,,,,,,,,,,,,,,,,,,,,,
4.834,5.22,28.262,,,,,,,,,,,,,,,,,,,,,,,,,,
5.237,5.21,27.92,,,,,,,,,,,,,,,,,,,,,,,,,,
5.584,5.2,27.91,,,,,,,,,,,,,,,,,,,,,,,,,,
5.934,5.2,27.958,,,,,,,,,,,,,,,,,,,,,,,,,,
6.284,5.19,27.645,,,,,,,,,,,,,,,,,,,,,,,,,,
6.632,5.18,27.636,,,,,,,,,,,,,,,,,,,,,,,,,,
6.981,5.18,27.626,,,,,,,,,,,,,,,,,,,,,,,,,,
7.359,5.17,27.93,,,,,,,,,,,,,,,,,,,,,,,,,,
7.707,5.17,27.616,,,,,,,,,,,,,,,,,,,,,,,,,,
8.056,5.16,27.588,,,,,,,,,,,,,,,,,,,,,,,,,,
8.406,5.16,27.626,,,,,,,,,,,,,,,,,,,,,,,,,,
8.755,5.14,27.597,,,,,,,,,,,,,,,,,,,,,,,,,,
9.103,5.14,27.636,,,,,,,,,,,,,,,,,,,,,,,,,,
9.481,5.13,27.322,,,,,,,,,,,,,,,,,,,,,,,,,,
9.883,5.12,27.636,,,,,,,,,,,,,,,,,,,,,,,,,,
10.249,5.11,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,
10.608,5.11,27.341,,,,,,,,,,,,,,,,,,,,,,,,,,
10.957,5.1,27.322,,,,,,,,,,,,,,,,,,,,,,,,,,
11.306,5.09,27.332,,,,,,,,,,,,,,,,,,,,,,,,,,
11.682,5.09,27.332,,,,,,,,,,,,,,,,,,,,,,,,,,
12.032,5.08,27.019,,,,,,,,,,,,,,,,,,,,,,,,,,
12.382,5.07,27.019,,,,,,,,,,,,,,,,,,,,,,,,,,
12.732,5.06,27.332,,,,,,,,,,,,,,,,,,,,,,,,,,
13.117,5.05,27.037,,,,,,,,,,,,,,,,,,,,,,,,,,
13.473,5.05,27.019,,,,,,,,,,,,,,,,,,,,,,,,,,
13.832,5.05,27.304,,,,,,,,,,,,,,,,,,,,,,,,,,
14.182,5.04,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,
14.559,5.03,27.322,,,,,,,,,,,,,,,,,,,,,,,,,,
14.907,5.03,27.037,,,,,,,,,,,,,,,,,,,,,,,,,,
15.257,5.02,27.028,,,,,,,,,,,,,,,,,,,,,,,,,,
15.605,5.02,27.037,,,,,,,,,,,,,,,,,,,,,,,,,,
15.955,5.01,27.019,,,,,,,,,,,,,,,,,,,,,,,,,,
16.304,5,26.743,,,,,,,,,,,,,,,,,,,,,,,,,,
16.665,5,26.743,,,,,,,,,,,,,,,,,,,,,,,,,,
17.029,5,26.706,,,,,,,,,,,,,,,,,,,,,,,,,,
17.379,4.99,26.752,,,,,,,,,,,,,,,,,,,,,,,,,,
17.728,4.98,26.734,,,,,,,,,,,,,,,,,,,,,,,,,,
18.077,4.98,26.421,,,,,,,,,,,,,,,,,,,,,,,,,,
18.427,4.97,26.724,,,,,,,,,,,,,,,,,,,,,,,,,,
18.802,4.96,26.421,,,,,,,,,,,,,,,,,,,,,,,,,,
19.15,4.96,26.724,,,,,,,,,,,,,,,,,,,,,,,,,,
19.501,4.95,26.724,,,,,,,,,,,,,,,,,,,,,,,,,,
19.85,4.95,26.734,,,,,,,,,,,,,,,,,,,,,,,,,,
20.198,4.94,26.734,,,,,,,,,,,,,,,,,,,,,,,,,,
20.574,4.93,26.734,,,,,,,,,,,,,,,,,,,,,,,,,,
20.924,4.94,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,
21.272,4.93,26.393,,,,,,,,,,,,,,,,,,,,,,,,,,
21.621,4.93,26.421,,,,,,,,,,,,,,,,,,,,,,,,,,
21.971,4.92,26.403,,,,,,,,,,,,,,,,,,,,,,,,,,
22.348,4.91,26.393,,,,,,,,,,,,,,,,,,,,,,,,,,
22.696,4.91,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,
23.046,4.91,26.126,,,,,,,,,,,,,,,,,,,,,,,,,,
23.395,4.91,26.126,,,,,,,,,,,,,,,,,,,,,,,,,,
23.744,4.9,26.393,,,,,,,,,,,,,,,,,,,,,,,,,,
24.121,4.89,26.448,,,,,,,,,,,,,,,,,,,,,,,,,,
24.469,4.89,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,
24.819,4.89,26.135,,,,,,,,,,,,,,,,,,,,,,,,,,
25.168,4.89,26.403,,,,,,,,,,,,,,,,,,,,,,,,,,
25.518,4.88,26.099,,,,,,,,,,,,,,,,,,,,,,,,,,
25.866,4.88,26.099,,,,,,,,,,,,,,,,,,,,,,,,,,
26.216,4.87,26.117,,,,,,,,,,,,,,,,,,,,,,,,,,
26.594,4.87,26.421,,,,,,,,,,,,,,,,,,,,,,,,,,
26.958,4.86,26.421,,,,,,,,,,,,,,,,,,,,,,,,,,
27.318,4.87,26.108,,,,,,,,,,,,,,,,,,,,,,,,,,
27.693,4.86,26.457,,,,,,,,,,,,,,,,,,,,,,,,,,
28.042,4.86,26.153,,,,,,,,,,,,,,,,,,,,,,,,,,
28.39,4.85,26.108,,,,,,,,,,,,,,,,,,,,,,,,,,
28.739,4.85,25.822,,,,,,,,,,,,,,,,,,,,,,,,,,
29.116,4.85,25.813,,,,,,,,,,,,,,,,,,,,,,,,,,
29.467,4.84,25.787,,,,,,,,,,,,,,,,,,,,,,,,,,
29.814,4.84,26.126,,,,,,,,,,,,,,,,,,,,,,,,,,
30.164,4.84,25.805,,,,,,,,,,,,,,,,,,,,,,,,,,
30.513,4.84,25.822,,,,,,,,,,,,,,,,,,,,,,,,,,
30.863,4.84,26.126,,,,,,,,,,,,,,,,,,,,,,,,,,
31.212,4.84,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,
31.588,4.83,26.108,,,,,,,,,,,,,,,,,,,,,,,,,,
31.936,4.83,26.135,,,,,,,,,,,,,,,,,,,,,,,,,,
32.288,4.83,25.822,,,,,,,,,,,,,,,,,,,,,,,,,,
