10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
0.005,9.9,105.214,0.004,19.11,210.629,0,28.95,309.53,0.005,38.36,384.078,0.006,47.56,450.208,0.001,58.15,494.691
0.417,11.21,114.398,0.418,20.68,222.494,0.363,31.01,316.486,0.378,41.44,394.433,0.391,51.17,462.889,0.362,63.91,500.058
0.771,11.41,102.968,0.774,21.54,220.351,0.757,32.01,309.556,0.772,42.19,388.686,0.787,53.32,460.814,0.729,66.62,496.644
1.131,10.86,96.201,1.133,21.07,210.822,1.134,31.86,302.849,1.14,41.8,382.994,1.161,52.96,448.456,1.132,65.37,480.42
1.507,10.02,91.492,1.511,20.34,202.005,1.539,30.21,296.222,1.5,39.99,373.354,1.566,51.31,437.25,1.498,59.75,465.248
1.853,9.3,84.383,1.91,19.77,202.164,1.935,29.41,287.063,1.871,39.33,371.767,1.925,49.46,431.828,1.854,57.26,463.28
2.206,9.23,88.718,2.279,19.54,199.472,2.307,29.16,294.372,2.224,39.03,374.69,2.29,48.34,431.425,2.208,56.55,468.597
2.611,9.56,94.612,2.64,19.51,201.885,2.667,29.24,296.425,2.629,39.51,378.071,2.693,48.35,435.77,2.611,57.68,474.921
2.975,9.98,102.951,3.042,19.78,205.88,3.071,29.7,294.252,2.994,39.9,374.142,3.097,49.25,438.58,3.017,60.41,479.713
3.334,10.35,100.506,3.445,20.07,209.864,3.473,30.31,305.248,3.355,40.17,380.537,3.5,50.24,448.44,3.38,61.54,476.238
3.71,10.36,103.491,3.81,20.26,208.641,3.839,30.43,306.449,3.755,40.29,380.705,3.865,50.73,443.264,3.74,61.44,475.799
4.059,10.28,97.916,4.17,20.19,205.839,4.199,30.33,301.642,4.16,40.13,375.958,4.224,50.64,444.885,4.115,61.04,476.113
4.463,9.95,106.507,4.546,20.08,206.043,4.601,30.02,296.826,4.547,40.03,376.991,4.627,50.22,434.991,4.504,60.18,467.242
4.829,9.84,103.144,4.912,19.99,207.791,5.005,29.83,298.024,4.928,39.93,377.549,5.03,49.91,440.28,4.885,59.31,470.697
5.188,9.76,94.14,5.272,19.93,205.107,5.372,29.86,297.901,5.29,39.91,379.811,5.397,49.73,435.402,5.245,59.2,465.827
5.59,9.91,105.209,5.66,19.92,205.228,5.73,29.92,299.989,5.691,39.95,374.904,5.756,49.78,440.333,5.647,59.59,469.905
5.996,10.03,107.967,6.023,19.95,210.155,6.105,30,301.136,6.056,39.97,379.169,6.159,49.92,440.15,6.051,59.92,469.497
6.359,10.05,104.747,6.427,19.99,209.584,6.471,30.01,296.964,6.417,39.99,377.44,6.561,50.06,438.2,6.415,60.24,471.22
6.721,10.04,106.308,6.831,20.03,204.416,6.831,30.01,296.718,6.793,40.03,377.413,6.949,50.11,437.888,6.775,60.33,468.438
7.098,10.04,104.689,7.196,20.04,203.763,7.235,30.01,300.567,7.158,40.03,378.528,7.33,50.09,437.992,7.179,60.29,468.803
7.461,9.98,100.845,7.556,19.99,206.57,7.638,30,297.347,7.517,40.03,379.559,7.69,50.06,439.211,7.583,59.94,466.79
7.822,9.98,97.447,7.942,19.99,207.709,8.004,30.01,292.795,7.893,39.97,376.159,8.094,50.01,437.447,7.949,59.95,467.633
8.198,9.97,96.381,8.307,20,206.897,8.362,30.01,298.358,8.299,39.97,376.076,8.459,49.93,436.15,8.307,59.95,465.697
8.587,9.97,101.889,8.711,20,204.13,8.737,30.01,294.94,8.662,39.98,376.857,8.819,49.95,438.145,8.71,59.96,467.777
8.967,9.94,100.21,9.099,20.01,208.079,9.104,29.97,293.159,9.023,40.02,377.08,9.194,49.96,434.545,9.114,60.05,467.69
9.326,9.95,96.237,9.48,20.01,204.944,9.464,29.98,300.381,9.427,40.01,378.75,9.561,50.03,438.839,9.479,60.09,464.398
9.727,9.96,98.026,9.84,19.99,206.491,9.84,29.99,295.891,9.827,40.01,379.193,9.92,50.1,438.086,9.838,60.07,463.234
10.078,10,96.237,10.226,19.97,206.897,10.242,29.98,300.061,10.194,39.98,373.933,10.297,50.04,437.207,10.214,60.07,466.59
10.482,10.05,95.118,10.591,20.01,209.989,10.607,30,297.593,10.552,39.99,373.271,10.663,50.02,435.138,10.582,60.03,465.424
10.847,10.05,95.66,10.995,19.99,209.294,10.967,30.02,300.256,10.956,40,378.804,11.022,49.97,434.492,10.94,60.05,461.465
11.205,10.01,99.706,11.36,19.99,203.113,11.372,30.01,298.74,11.362,40.04,373.685,11.398,49.99,436.79,11.344,60.05,463.651
11.582,9.98,101.985,11.719,19.97,206.975,11.774,30,299.813,11.725,40.01,374.938,11.8,50,437.794,11.748,59.93,460.497
11.948,9.98,103.086,12.095,20.02,211.172,12.14,29.97,300.319,12.086,40.03,372.019,12.166,50.01,437.48,12.112,59.97,463.44
12.306,9.95,99.109,12.484,20.02,208.361,12.5,30,295.446,12.489,40,377.691,12.525,50.04,434.998,12.471,59.99,462.831
12.709,9.97,92.967,12.858,20.02,205.269,12.886,30.01,301.267,12.892,40.01,377.218,12.912,50.06,433.789,12.848,60.09,461.946
13.06,10.01,97.989,13.224,20,210.114,13.251,30,294.312,13.256,40.01,374.689,13.278,50.01,430.622,13.213,60.07,460.025
13.464,10.02,106.348,13.628,19.99,207.303,13.657,29.99,301.71,13.616,40,377.135,13.682,50.02,433.04,13.574,60.11,460.818
13.867,10.02,94.629,13.993,19.99,208.683,14.058,29.97,295.263,13.991,39.98,374.024,14.069,50,434.456,13.933,60.03,458.868
14.231,10.03,98.007,14.353,19.97,204.497,14.425,29.99,300.637,14.357,39.94,373.968,14.451,50.03,432.959,14.3,59.99,457.317
14.59,10.01,99.65,14.728,19.98,208.196,14.784,30,299.627,14.717,40.01,378.185,14.809,50.03,433.292,14.701,60,458.141
14.995,9.99,101.292,15.117,19.99,205.717,15.186,30,299.059,15.12,40,375.134,15.213,50.06,435.267,15.066,60.04,458.72
15.398,9.97,103.588,15.496,20.05,207.626,15.589,30.01,298.616,15.524,40.02,375.661,15.578,50.1,432.107,15.427,60.05,458.993
15.764,9.98,99.743,15.856,20.02,207.914,15.955,30,302.153,15.889,40.04,376.854,15.936,49.95,432.544,15.814,60.09,457.96
16.122,10.01,97.374,16.261,19.99,208.278,16.315,30,299.121,16.249,40.02,375.965,16.298,50.02,428.41,16.178,60.03,458.901
16.473,10.02,94.647,16.625,19.99,202.423,16.718,30.01,298.234,16.623,40.04,375.106,16.663,50,430.051,16.584,60.05,454.472
16.875,10.02,103.569,16.985,19.98,204.171,17.121,30.01,298.997,16.989,40,375.714,17.066,50,433.228,16.948,60,455.685
17.279,9.99,97.465,17.344,19.98,208.237,17.485,30,300.955,17.351,40.01,375.273,17.431,49.99,428.228,17.308,60,459.108
