10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
0.003,10.16,127.136,0.005,21.42,228.81,0.006,29.72,278.736,0,43.38,363.096,0.001,47.43,384.376,,,
0.419,12.11,127.002,0.374,22.58,217.846,0.416,30.71,282.2,0.365,46.74,358.791,0.363,57.78,379.379,,,
0.783,11.61,113.138,0.767,22.07,209.508,0.812,31.05,283.434,0.754,46.04,338.752,0.758,60.92,365.768,,,
1.185,10.46,100.939,1.134,19.69,184.487,1.178,30.44,274.639,1.123,39.69,317.084,1.161,53.84,352.848,,,
1.551,9.48,105.662,1.494,18.25,182.258,1.537,30.15,274.01,1.481,37.62,316.005,1.555,50.28,342.799,,,
1.907,9.46,111.054,1.864,18.34,194.674,1.92,29.96,271.207,1.853,37.76,319.553,1.934,47.9,338.742,,,
2.29,9.84,106.298,2.218,20.02,204.354,2.306,29.94,271.59,2.206,38.76,329.961,2.29,47.63,341.486,,,
2.655,9.77,109.44,2.623,20.65,212.12,2.666,29.99,274.103,2.612,39.78,329.57,2.693,48.99,341.22,,,
3.013,9.91,113.896,2.987,20.72,196.607,3.068,30.03,271.875,2.975,40.78,326.994,3.097,49.7,336.307,,,
3.389,10.05,108.303,3.347,20.36,196.554,3.472,30.05,268.62,3.334,40.94,323.463,3.462,50.25,332.904,,,
3.778,10.05,111.38,3.733,19.8,200.814,3.836,30.08,267.713,3.711,40.69,320.529,3.822,50.45,331.314,,,
4.143,10.05,110.359,4.099,19.68,199.738,4.196,30.1,275.466,4.098,40.38,319.774,4.224,50.39,328.979,,,
4.518,10.04,109.501,4.501,19.74,201.474,4.573,30.05,267.188,4.48,40.02,320.066,4.628,50.45,324.115,,,
4.922,9.97,115.066,4.905,19.94,204.172,4.941,30.05,270.466,4.838,39.97,318.22,4.993,50.33,323.898,,,
5.323,10.05,111.61,5.271,20.2,211.797,5.298,30.12,273.957,5.225,40.03,315.588,5.377,50.21,320.777,,,
5.689,10.04,110.722,5.631,20.17,200.598,5.675,30.09,274.448,5.591,40.12,314.955,5.755,50.17,320.716,,,
6.049,10.01,106.935,6.033,20.28,204.397,6.04,30.05,271.739,5.994,40.2,313.541,6.16,50.08,314.594,,,
6.455,10.02,111.83,6.437,20.35,205.141,6.399,30.1,270.868,6.382,40.26,315.183,6.525,50.07,314.623,,,
6.854,10,112.832,6.803,19.87,206.514,6.775,30.01,269.777,6.763,40.08,312.861,6.884,50.14,313.217,,,
7.221,10,115.998,7.162,19.65,201.286,7.181,29.96,270.365,7.122,40.08,313.92,7.287,50.14,313.506,,,
7.581,10.01,106.209,7.566,19.85,196.995,7.546,29.97,268.157,7.526,40.01,310.616,7.692,50.14,308.41,,,
7.984,10,113.928,7.968,19.98,196.628,7.905,30.14,271.535,7.893,40.08,310.305,8.055,50.15,304.738,,,
8.388,9.95,112.874,8.356,20.09,213.725,8.307,30.11,273.238,8.252,40.19,308.945,8.416,50.13,301.75,,,
8.752,10.03,109.399,8.73,20.08,196.668,8.711,30.14,272.434,8.627,40.12,308.527,8.792,50.07,297.306,,,
9.111,10.01,110.577,9.096,20.03,207.676,9.076,29.95,268.619,8.993,40.06,305.461,9.158,50.06,300.096,,,
9.472,10.04,111.495,9.499,20.03,200.598,9.435,29.97,270.903,9.352,40.02,306.897,9.518,50.06,296.452,,,
9.837,10.01,107.277,9.888,20.05,195.558,9.839,29.77,269.691,9.729,40.09,307.47,9.921,50.1,297.841,,,
10.203,9.97,111.694,10.27,20.03,200.765,10.242,30.14,271.007,10.131,40.1,309.093,10.324,50.14,291.175,,,
10.562,10,111.558,10.626,19.94,196.77,10.607,30.27,274.681,10.497,40.11,304.086,10.689,50.12,291.268,,,
10.939,10.04,110.764,11.015,19.99,200.557,10.967,30.33,264.808,10.856,40.06,305.195,11.049,50.08,292.063,,,
11.304,9.98,113.971,11.38,20.03,211.599,11.37,30,266.971,11.261,40.05,304.274,11.425,50.04,289.807,,,
11.663,9.98,113.981,11.784,20.06,198.562,11.774,29.94,267.993,11.663,40.08,302.169,11.791,50.04,284.627,,,
12.042,10.01,112.673,12.15,20.03,193.482,12.161,29.99,271.229,12.029,40.06,302.301,12.149,50.05,283.075,,,
12.405,10,113.023,12.512,20,198.541,12.543,29.92,267.492,12.389,40.12,301.043,12.525,50.01,280.747,,,
12.765,10.02,110.577,12.913,20,212.606,12.903,29.9,266.959,12.791,40.06,301.215,12.929,50,278.423,,,
13.124,9.98,114.991,13.316,19.99,199.404,13.305,30.07,269.29,13.194,40.06,300.63,13.296,50.03,277.333,,,
13.491,9.99,117.279,13.681,20.02,194.591,13.671,30.15,267.412,13.561,40.04,300.254,13.653,50.02,277.001,,,
13.893,10,113.853,14.04,19.99,210.613,14.03,29.94,265.661,13.919,39.99,300.001,14.059,50.08,273.106,,,
14.257,9.98,109.542,14.445,20.02,205.339,14.416,29.93,266.114,14.295,40.03,297.335,14.46,52.2,257.197,,,
14.618,10,112.726,14.832,20.06,197.266,14.783,30.19,269.61,14.662,40.19,298.87,14.826,58.23,236.727,,,
15.022,10.03,111.432,15.213,20.03,202.088,15.187,30.1,266.721,15.021,40.09,295.757,15.186,67.66,139.65,,,
15.425,10.02,113.033,15.573,20.02,195.314,15.588,30.1,264.303,15.397,40,296.834,15.589,97.88,0.079,,,
15.791,9.98,112.811,15.96,20.01,212.452,15.954,30.08,266.083,15.762,39.96,294.183,15.993,8.43,0,,,
16.149,10.01,112.832,16.325,20,194.247,16.313,29.98,266.114,16.122,39.99,296.117,16.358,6.53,0,,,
16.552,9.97,114.948,16.728,19.97,209.453,16.717,29.98,266.721,16.497,40.02,295.449,16.717,7.62,0,,,
16.956,10,115.239,17.132,20.02,199.051,17.121,29.92,264.881,16.901,40.06,296.912,17.121,4.65,0,,,
17.321,10.02,111.684,17.496,20.05,211.269,17.486,30.02,264.412,17.267,40.06,295.712,17.524,7.05,0,,,
17.681,9.95,115.066,17.857,19.93,208.294,17.846,30.03,269.103,17.625,40.02,294.556,17.912,9.38,0,,,
18.056,10.02,109.532,18.26,20.16,201.92,18.233,30.01,266.822,18.03,40.01,294.662,18.292,6.19,0,,,
18.423,10.02,116.303,18.665,19.95,201.355,18.597,30.1,265.841,18.431,39.99,290.366,18.652,5.7,0,,,
18.782,10,117.257,19.028,19.93,196.26,19.002,30.06,269.354,18.797,40.01,289.827,19.053,5.04,0,,,
19.16,10.03,112.811,19.387,19.91,202.193,19.366,30.06,264.955,19.157,40.03,290.54,19.418,0,0,,,
19.524,10,110.629,19.764,20.03,207.072,19.725,29.94,262.452,19.561,40.05,288.666,19.779,0,0,,,
19.886,9.99,111.705,20.142,20.12,200.79,20.104,29.9,262.934,19.962,40.05,291.079,20.152,0,0,,,
20.26,10,111.715,20.543,20.21,197.143,20.468,29.96,266.981,20.328,39.99,289.457,20.503,0,0,,,
20.648,9.99,107.126,20.948,19.87,202.446,20.828,30.04,260.484,20.689,39.98,289.557,20.906,0,0,,,
21.029,10,116.347,21.311,19.88,210.285,21.204,30.13,263.102,21.074,40,288.29,21.271,0,0,,,
21.388,10,115.879,21.673,19.89,203.03,21.569,30.07,264.079,21.44,39.98,286.9,,,,,,
21.792,10,112.684,22.074,20.15,192.838,21.928,30.03,259.539,21.845,39.99,286.401,,,,,,
22.158,10.01,112.769,22.461,19.95,195.071,22.304,30.03,263.383,22.232,40.02,288.909,,,,,,
22.518,9.99,116.369,22.842,19.9,211.943,22.672,29.95,263.227,22.613,40.02,286.331,,,,,,
22.896,10,113.693,23.202,20,210.197,23.029,29.88,259.447,22.974,40.04,282.834,,,,,,
23.296,10.01,108.252,23.562,20.14,204.442,23.407,30.04,267.009,23.375,40.01,282.546,,,,,,
23.663,10,111.673,23.926,20.28,200.475,23.772,30.03,264.522,23.78,39.97,284.156,,,,,,
24.021,10.01,112.61,24.316,20.09,189.825,24.131,30.02,263.265,24.145,39.99,282.27,,,,,,
24.408,10.02,112.557,24.696,20.07,207.223,24.507,30.05,265.969,24.505,39.99,282.528,,,,,,
24.804,10.01,104.914,25.055,19.76,195.253,24.912,30.01,262.384,24.909,39.98,282.951,,,,,,
25.177,10,115.142,25.458,19.77,201.962,25.278,29.97,264.71,25.294,39.98,277.978,,,,,,
25.543,10,111.715,25.863,20.04,200.769,25.637,29.99,265.495,25.677,40.04,279.616,,,,,,
25.902,10,108.404,26.228,20.1,198.823,26.039,30.03,259.279,26.038,40.04,281.163,,,,,,
26.262,10.02,114.991,26.588,20.08,194.867,26.443,30.07,265.621,26.441,40.05,280.872,,,,,,
26.627,10.01,110.505,26.99,20.02,196.671,26.808,29.97,266.342,26.843,40.03,281.535,,,,,,
27.032,10,108.435,27.394,19.97,194.969,27.167,29.88,262.764,27.211,40.01,277.013,,,,,,
27.396,9.98,108.272,27.759,19.99,200.894,27.571,30.01,258.878,27.567,39.97,277.306,,,,,,
27.756,10,115.955,28.118,19.98,200.811,27.975,30.02,265.835,27.971,40.05,279.829,,,,,,
28.158,10.01,114.862,28.495,19.95,199.786,28.34,30.02,261.292,28.374,40.05,278.05,,,,,,
28.562,10,108.496,28.87,19.95,206.749,28.699,30.01,260.322,28.762,40.04,279.037,,,,,,
28.928,10,112.885,29.273,19.97,200.58,29.102,30.04,261.011,29.145,40,275.779,,,,,,
